MF PT 1 Baseline - Source Energy|Total (*),MF PT 1 Baseline - Site Energy|Total (E),MF PT 1 Baseline - Source Energy|Total (E),MF PT 1 Baseline - Site Energy|Cooling (E),MF PT 1 Baseline - Site Energy|Heating Fan/Pump (E),MF PT 1 Baseline - Site Energy|Lights (E),MF PT 1 Baseline - Site Energy|Lg. Appl. (E),MF PT 1 Baseline - Site Energy|Vent Fan (E),MF PT 1 Baseline - Site Energy|Misc. (E),MF PT 1 Baseline - Site Energy|Total (G),MF PT 1 Baseline - Source Energy|Total (G),MF PT 1 Baseline - Site Energy|Heating (G),MF PT 1 Baseline - Site Energy|Hot Water (G),MF PT 1 Baseline - Site Energy|Lg. Appl. (G),MF PT 1 Baseline - Source Energy|Cooling (E),MF PT 1 Baseline - Source Energy|Heating Fan/Pump (E),MF PT 1 Baseline - Source Energy|Lights (E),MF PT 1 Baseline - Source Energy|Lg. Appl. (E),MF PT 1 Baseline - Source Energy|Vent Fan (E),MF PT 1 Baseline - Source Energy|Misc. (E),MF PT 1 Baseline - Source Energy|Heating (G),MF PT 1 Baseline - Source Energy|Hot Water (G),MF PT 1 Baseline - Source Energy|Lg. Appl. (G),MF PT 1 Baseline - Living Space|Indoor Temperature,MF PT 1 Baseline - Living Space|Heating Setpoint,MF PT 1 Baseline - Living Space|Cooling Setpoint,MF PT 1 Baseline - Living Space|Indoor Humidity,MF PT 1 Baseline - Living Space|Indoor Relative Humidity,MF PT 1 Baseline - Living Space|Wind Speed (at Building),MF PT 1 Baseline - Living Space|Infiltration + Mech. Vent.,MF PT 1 Baseline - Living Space|Infiltration,MF PT 1 Baseline - Living Space|Mech. Vent. (rated),MF PT 1 Baseline - Living Space|Natural Ventilation,MF PT 1 Baseline - Living Space|System Flow Rate to Zone,MF PT 1 Baseline - Living Space|Zone Glazing Transmitted Solar,MF PT 1 Baseline - Living Space|Latent Gains/Losses,MF PT 1 Baseline - Domestic Water System|Hot Water Use Flow Rate,MF PT 1 Baseline - Domestic Water System|Cold Water Use Flow Rate,MF PT 1 Baseline - Domestic Water System|Water Heater Inlet Temperature,MF PT 1 Baseline - Domestic Water System|Delivered Hot Water Temperature,MF PT 1 Baseline - Delivered Energy|Heating Delivered (main),MF PT 1 Baseline - Delivered Energy|Cooling Delivered (sensible),MF PT 1 Baseline - Delivered Energy|Cooling Delivered (latent),MF PT 1 Baseline - Delivered Energy|DHW Delivered Energy,MF PT 1 Baseline - Delivered Energy|DHW Pipe Heat Losses - Unit,MF PT 1 Baseline - HVAC System|Total Supply Air Flow Rate,MF PT 1 Baseline - HVAC System|Supply Air Temperature,MF PT 1 Baseline - Weather|Outdoor Drybulb,MF PT 1 Baseline - Weather|Outdoor Wetbulb,MF PT 1 Baseline - Weather|Outdoor Dew Point,MF PT 1 Baseline - Weather|Ground Temperature,MF PT 1 Baseline - Weather|Outdoor Humidity Ratio,MF PT 1 Baseline - Weather|Direct Normal Solar,MF PT 1 Baseline - Weather|Total Horizontal Solar,MF PT 1 Baseline - Weather|Diffuse Horizontal Solar,MF PT 1 Baseline - Weather|Wind Speed (at Weather Station),MF PT 1 Baseline - Weather|Wind Direction,MF PT 1 Baseline - Weather|Atmospheric Pressure,MF PT 1 Baseline - Weather|Outdoor Air Density,MF PT 1 Baseline - Weather|Sky Temperature,MF PT 1 Baseline - Weather|Sky Radiation Losses,MF PT 1 Baseline - Weather|Total Vertical Solar,MF PT 1 Baseline - Weather|Mains Water Temperature
Btu,kWh,Btu,kWh,kWh,kWh,kWh,kWh,kWh,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,F,F,F,lb/lb,%,m/s,cfm,cfm,cfm,cfm,cfm,Btu,Btu,gph,gph,F,F,Btu,Btu,Btu,Btu,Btu,cfm,F,F,F,F,F,lb/lb,Btu/sqft,Btu/sqft,Btu/sqft,m/s,Deg,Atm,lbm/cuft,F,Btu/sqft,Btu/sqft,F
12015.33917,0.267632,2876.456545,0,0.002223,0.020502,0.045657,0,0.19925,8384.295986,9138.882625,8324.521258,0,59.774728,0,23.896946,220.351421,490.711451,0,2141.496727,9073.728171,0,65.154453,71.121594,71,95,0.003393,20.601793,1.580852,45.086611,45.086611,0,0,103.128476,0,-12.42323,0,0,64.696598,124.907388,4994.712755,0,0,0,21.935002,103.128476,122.553121,46.7,34.956269,14.03,61.095585,0.001742,0,0,0,3.008333,95,0.97508,0.076174,12.770881,85.295427,0,64.696598
10449.69239,0.247094,2655.717421,0,0.002371,0.012301,0.044557,0,0.187864,7150.435748,7793.974965,6495.694735,594.966285,59.774728,0,25.487065,132.210853,478.894018,0,2019.125485,7080.307261,648.513251,65.154453,71.093328,71,95,0.003372,20.493143,2.461049,58.9579,58.9579,0,0,80.469537,0,-190.13958,0,0,64.696598,124.907388,3897.416841,0,0,0,10.985106,80.469537,122.525736,48.365,35.204005,11.105,61.095585,0.00147,0,0,0,4.683333,176.666667,0.97508,0.075957,13.54388,85.850151,0,64.696598
13826.93441,0.236115,2537.721133,0,0.003004,0.008201,0.04274,0,0.182171,10357.0764,11289.21328,9814.261701,508.657713,34.156987,0,32.28446,88.140568,459.35624,0,1957.939865,10697.54525,554.436907,37.231116,71.136943,71,95,0.003346,20.307655,2.355951,57.144817,57.144817,0,0,121.570154,0,-151.16387,0,0,64.696598,124.907388,5888.557021,0,0,0,2.746276,121.570154,122.504115,47.21,34.750583,12.11,61.095585,0.001547,0,0,0,4.483333,340,0.97508,0.07612,12.924283,85.401089,0,64.696598
11133.05032,0.229075,2462.050113,0,0.002756,0.008201,0.04164,0,0.176478,7955.046057,8671.000202,7877.754257,43.134812,34.156987,0,29.616494,88.140568,447.538807,0,1896.754244,8586.75214,47.016945,37.231116,71.110737,71,95,0.003327,20.207295,2.281506,56.112841,56.112841,0,0,97.575093,0,-108.668805,0,0,64.696598,124.907388,4726.652554,0,0,0,2.746276,97.575093,122.479802,46.025,34.346703,13.19,61.095585,0.001652,0,0,0,4.341667,340,0.97508,0.076286,12.22795,84.899195,0,64.696598
14600.24918,0.235677,2533.004906,0,0.003129,0.009117,0.041259,0,0.182171,11070.86631,12067.24428,9950.403282,1060.688299,59.774728,0,33.630844,97.992477,443.44172,0,1957.939865,10845.93958,1156.150246,65.154453,71.136535,71,95,0.003313,20.108238,2.198304,55.040914,55.040914,0,0,123.239181,0,-69.65167,0,0,64.696598,124.907388,5970.241969,0,0,0,10.985106,123.239181,122.457434,44.765,33.826137,14.27,61.095585,0.001729,0,0,0,4.183333,340,0.97508,0.076467,11.344508,84.265225,0,64.696598
12659.46508,0.258142,2774.453915,0,0.003044,0.025017,0.042217,0,0.187864,9068.817578,9885.011161,8974.885863,0,93.931715,0,32.713053,268.879862,453.735515,0,2019.125485,9782.625591,0,102.385569,71.123804,71,95,0.003306,20.072475,2.093205,54.044641,54.044641,0,0,111.150828,0,-18.729287,0,0,64.696598,124.907388,5384.931518,0,0,0,76.790113,111.150828,122.433833,42.77,33.006316,15.77,61.095585,0.001856,0,0,0,3.983333,340,0.97508,0.076755,9.671266,83.076531,0,64.696598
18350.53781,0.33316,3580.737767,0,0.003523,0.058733,0.047768,0.0125,0.210635,13550.27527,14769.80004,10993.44699,2343.347107,213.48117,0,37.867945,631.255693,513.398661,134.3475,2263.867969,11982.85722,2554.248346,232.694476,71.146142,71,95,0.003298,20.007903,1.988107,72.588375,22.588376,50,0,136.14332,0,-70.627732,1.496898,0.492609,64.696598,124.934095,6596.068196,0,0,750.930376,263.255239,136.14332,122.410879,41.825,32.662414,16.73,61.095585,0.001934,0,0,0,3.783333,340,0.97508,0.07689,9.001989,82.601053,0,64.696598
14237.80899,0.373074,4009.728763,0,0.003112,0.074326,0.054037,0.0025,0.2391,9383.559838,10228.08022,9024.911471,0,358.648366,0,33.443231,798.837806,580.782153,26.8695,2569.796072,9837.153504,0,390.926719,71.122166,71,95,0.003299,20.029178,1.63778,46.674693,46.674693,0,0,111.759478,163.475595,78.040991,0,0,64.696598,124.871342,5414.946883,0,0,0,279.697688,111.759478,122.388843,42.215,32.877447,16.775,61.095585,0.00193,164.594551,26.899158,8.532184,3.116667,340,0.97508,0.076831,9.450982,82.918038,59.745037,64.696598
13819.19653,0.382453,4110.525985,0,0.002578,0.078987,0.056095,0,0.244793,8907.037198,9708.670546,7410.428438,1103.803406,392.805354,0,27.710686,848.940226,602.893381,0,2630.981693,8077.366998,1203.145712,428.157836,71.101398,71,95,0.003303,20.068671,0.713792,35.162732,35.162732,0,0,91.76468,535.781906,-16.914117,0.036073,0.011807,64.696598,124.794451,4446.257063,0,0,18.072243,268.712583,91.76468,122.369351,45.8,34.568272,14.81,61.095585,0.00179,250.576779,84.351012,15.426612,1.358333,252.5,0.97508,0.076304,12.213502,84.899195,100.58787,64.696598
