Time Step,Time Stamp,Electric Load (kW),Grid Serving Load (kW),PV Serving Load (kW),Wind Serving Load (kW),Battery Discharging (kW),PV Charging Battery (kW),Wind Charging Battery (kW),Grid Charging Battery (kW),PV Exporting to Grid (kW),Wind Exporting to Grid (kW),Battery to Grid (kW),Battery State of Charge (%),Diesel Generator Serving Load (kW)
1,2019-01-01 00:00:00,0.3,0.3,,,0.0,,,0.3,,,,0.6,
2,2019-01-01 01:00:00,0.2,0.2,,,0.0,,,0.3,,,,0.6,
3,2019-01-01 02:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.7,
4,2019-01-01 03:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.7,
5,2019-01-01 04:00:00,0.6,0.5,,,0.1,,,0.0,,,,0.7,
6,2019-01-01 05:00:00,0.6,0.5,,,0.1,,,0.0,,,,0.7,
7,2019-01-01 06:00:00,0.9,0.5,,,0.3,,,0.0,,,,0.6,
8,2019-01-01 07:00:00,0.7,0.5,,,0.2,,,0.0,,,,0.5,
9,2019-01-01 08:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.5,
10,2019-01-01 09:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.6,
11,2019-01-01 10:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.6,
12,2019-01-01 11:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.6,
13,2019-01-01 12:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.7,
14,2019-01-01 13:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.7,
15,2019-01-01 14:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.7,
16,2019-01-01 15:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.8,
17,2019-01-01 16:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.8,
18,2019-01-01 17:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.8,
19,2019-01-01 18:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.8,
20,2019-01-01 19:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.8,
21,2019-01-01 20:00:00,0.5,0.5,,,0.0,,,0.1,,,,0.8,
22,2019-01-01 21:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.9,
23,2019-01-01 22:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.9,
24,2019-01-01 23:00:00,0.3,0.3,,,0.0,,,0.2,,,,1.0,
25,2019-01-02 00:00:00,0.5,0.5,,,0.0,,,0.1,,,,1.0,
26,2019-01-02 01:00:00,0.6,0.5,,,0.1,,,0.0,,,,0.9,
27,2019-01-02 02:00:00,0.8,0.5,,,0.2,,,0.0,,,,0.9,
28,2019-01-02 03:00:00,0.8,0.5,,,0.3,,,0.0,,,,0.8,
29,2019-01-02 04:00:00,0.9,0.5,,,0.4,,,0.0,,,,0.7,
30,2019-01-02 05:00:00,1.0,0.5,,,0.4,,,0.0,,,,0.6,
31,2019-01-02 06:00:00,1.2,0.5,,,0.7,,,0.0,,,,0.4,
32,2019-01-02 07:00:00,1.0,0.5,,,0.5,,,0.0,,,,0.3,
33,2019-01-02 08:00:00,0.8,0.5,,,0.2,,,0.0,,,,0.2,
34,2019-01-02 09:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.2,
35,2019-01-02 10:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.3,
36,2019-01-02 11:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.3,
37,2019-01-02 12:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.3,
38,2019-01-02 13:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.4,
39,2019-01-02 14:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.4,
40,2019-01-02 15:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.5,
41,2019-01-02 16:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.5,
42,2019-01-02 17:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.5,
43,2019-01-02 18:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.5,
44,2019-01-02 19:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.5,
45,2019-01-02 20:00:00,0.5,0.5,,,0.0,,,0.1,,,,0.5,
46,2019-01-02 21:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.5,
47,2019-01-02 22:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.6,
48,2019-01-02 23:00:00,0.3,0.3,,,0.0,,,0.2,,,,0.6,
49,2019-01-03 00:00:00,0.3,0.3,,,0.0,,,0.3,,,,0.7,
50,2019-01-03 01:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.7,
51,2019-01-03 02:00:00,0.6,0.5,,,0.0,,,0.0,,,,0.7,
52,2019-01-03 03:00:00,0.7,0.5,,,0.2,,,0.0,,,,0.7,
53,2019-01-03 04:00:00,0.8,0.5,,,0.3,,,0.0,,,,0.6,
54,2019-01-03 05:00:00,0.9,0.5,,,0.3,,,0.0,,,,0.5,
55,2019-01-03 06:00:00,1.1,0.5,,,0.6,,,0.0,,,,0.3,
56,2019-01-03 07:00:00,1.0,0.5,,,0.4,,,0.0,,,,0.2,
57,2019-01-03 08:00:00,0.6,0.5,,,0.1,,,0.0,,,,0.2,
58,2019-01-03 09:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.2,
59,2019-01-03 10:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.2,
60,2019-01-03 11:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.2,
61,2019-01-03 12:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.2,
62,2019-01-03 13:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.2,
63,2019-01-03 14:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.2,
64,2019-01-03 15:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.2,
65,2019-01-03 16:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.2,
66,2019-01-03 17:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.2,
67,2019-01-03 18:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.2,
68,2019-01-03 19:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.2,
69,2019-01-03 20:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.2,
70,2019-01-03 21:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.2,
71,2019-01-03 22:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.3,
72,2019-01-03 23:00:00,0.3,0.3,,,0.0,,,0.2,,,,0.3,
73,2019-01-04 00:00:00,0.3,0.3,,,0.0,,,0.3,,,,0.4,
74,2019-01-04 01:00:00,0.3,0.3,,,0.0,,,0.3,,,,0.5,
75,2019-01-04 02:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.5,
76,2019-01-04 03:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.5,
77,2019-01-04 04:00:00,0.7,0.5,,,0.2,,,0.0,,,,0.5,
78,2019-01-04 05:00:00,0.8,0.5,,,0.3,,,0.0,,,,0.4,
79,2019-01-04 06:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.4,
80,2019-01-04 07:00:00,0.6,0.5,,,0.1,,,0.0,,,,0.4,
81,2019-01-04 08:00:00,0.7,0.5,,,0.1,,,0.0,,,,0.4,
82,2019-01-04 09:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.4,
83,2019-01-04 10:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.4,
84,2019-01-04 11:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.4,
85,2019-01-04 12:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.4,
86,2019-01-04 13:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.4,
87,2019-01-04 14:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.4,
88,2019-01-04 15:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.4,
89,2019-01-04 16:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.4,
90,2019-01-04 17:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.4,
91,2019-01-04 18:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.4,
92,2019-01-04 19:00:00,0.5,0.4,,,0.1,,,0.0,,,,0.3,
