MF PT 2 Elec IAQ Range + EE - Source Energy|Total (*),MF PT 2 Elec IAQ Range + EE - Site Energy|Total (E),MF PT 2 Elec IAQ Range + EE - Source Energy|Total (E),MF PT 2 Elec IAQ Range + EE - Site Energy|Cooling (E),MF PT 2 Elec IAQ Range + EE - Site Energy|Heating (E),MF PT 2 Elec IAQ Range + EE - Site Energy|Heating Fan/Pump (E),MF PT 2 Elec IAQ Range + EE - Site Energy|Lights (E),MF PT 2 Elec IAQ Range + EE - Site Energy|Lg. Appl. (E),MF PT 2 Elec IAQ Range + EE - Site Energy|Vent Fan (E),MF PT 2 Elec IAQ Range + EE - Site Energy|Misc. (E),MF PT 2 Elec IAQ Range + EE - Site Energy|Total (G),MF PT 2 Elec IAQ Range + EE - Source Energy|Total (G),MF PT 2 Elec IAQ Range + EE - Site Energy|Hot Water (G),MF PT 2 Elec IAQ Range + EE - Source Energy|Cooling (E),MF PT 2 Elec IAQ Range + EE - Source Energy|Heating (E),MF PT 2 Elec IAQ Range + EE - Source Energy|Heating Fan/Pump (E),MF PT 2 Elec IAQ Range + EE - Source Energy|Lights (E),MF PT 2 Elec IAQ Range + EE - Source Energy|Lg. Appl. (E),MF PT 2 Elec IAQ Range + EE - Source Energy|Vent Fan (E),MF PT 2 Elec IAQ Range + EE - Source Energy|Misc. (E),MF PT 2 Elec IAQ Range + EE - Source Energy|Hot Water (G),MF PT 2 Elec IAQ Range + EE - Living Space|Indoor Temperature,MF PT 2 Elec IAQ Range + EE - Living Space|Heating Setpoint,MF PT 2 Elec IAQ Range + EE - Living Space|Cooling Setpoint,MF PT 2 Elec IAQ Range + EE - Living Space|Indoor Humidity,MF PT 2 Elec IAQ Range + EE - Living Space|Indoor Relative Humidity,MF PT 2 Elec IAQ Range + EE - Living Space|Wind Speed (at Building),MF PT 2 Elec IAQ Range + EE - Living Space|Infiltration + Mech. Vent.,MF PT 2 Elec IAQ Range + EE - Living Space|Infiltration,MF PT 2 Elec IAQ Range + EE - Living Space|Mech. Vent. (rated),MF PT 2 Elec IAQ Range + EE - Living Space|Natural Ventilation,MF PT 2 Elec IAQ Range + EE - Living Space|System Flow Rate to Zone,MF PT 2 Elec IAQ Range + EE - Living Space|Zone Glazing Transmitted Solar,MF PT 2 Elec IAQ Range + EE - Living Space|Latent Gains/Losses,MF PT 2 Elec IAQ Range + EE - Domestic Water System|Hot Water Use Flow Rate,MF PT 2 Elec IAQ Range + EE - Domestic Water System|Cold Water Use Flow Rate,MF PT 2 Elec IAQ Range + EE - Domestic Water System|Water Heater Inlet Temperature,MF PT 2 Elec IAQ Range + EE - Domestic Water System|Delivered Hot Water Temperature,MF PT 2 Elec IAQ Range + EE - Delivered Energy|Heating Delivered (main),MF PT 2 Elec IAQ Range + EE - Delivered Energy|Cooling Delivered (sensible),MF PT 2 Elec IAQ Range + EE - Delivered Energy|Cooling Delivered (latent),MF PT 2 Elec IAQ Range + EE - Delivered Energy|DHW Delivered Energy,MF PT 2 Elec IAQ Range + EE - Delivered Energy|DHW Pipe Heat Losses - Unit,MF PT 2 Elec IAQ Range + EE - HVAC System|Total Supply Air Flow Rate,MF PT 2 Elec IAQ Range + EE - HVAC System|Supply Air Temperature,MF PT 2 Elec IAQ Range + EE - Weather|Outdoor Drybulb,MF PT 2 Elec IAQ Range + EE - Weather|Outdoor Wetbulb,MF PT 2 Elec IAQ Range + EE - Weather|Outdoor Dew Point,MF PT 2 Elec IAQ Range + EE - Weather|Ground Temperature,MF PT 2 Elec IAQ Range + EE - Weather|Outdoor Humidity Ratio,MF PT 2 Elec IAQ Range + EE - Weather|Direct Normal Solar,MF PT 2 Elec IAQ Range + EE - Weather|Total Horizontal Solar,MF PT 2 Elec IAQ Range + EE - Weather|Diffuse Horizontal Solar,MF PT 2 Elec IAQ Range + EE - Weather|Wind Speed (at Weather Station),MF PT 2 Elec IAQ Range + EE - Weather|Wind Direction,MF PT 2 Elec IAQ Range + EE - Weather|Atmospheric Pressure,MF PT 2 Elec IAQ Range + EE - Weather|Outdoor Air Density,MF PT 2 Elec IAQ Range + EE - Weather|Sky Temperature,MF PT 2 Elec IAQ Range + EE - Weather|Sky Radiation Losses,MF PT 2 Elec IAQ Range + EE - Weather|Total Vertical Solar,MF PT 2 Elec IAQ Range + EE - Weather|Mains Water Temperature
Btu,kWh,Btu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,F,F,F,lb/lb,%,m/s,cfm,cfm,cfm,cfm,cfm,Btu,Btu,gph,gph,F,F,Btu,Btu,Btu,Btu,Btu,cfm,F,F,F,F,F,lb/lb,Btu/sqft,Btu/sqft,Btu/sqft,m/s,Deg,Atm,lbm/cuft,F,Btu/sqft,Btu/sqft,F
2941.00846,0.273638,2941.00846,0,0,0,0.020502,0.053886,0,0.19925,0,0,0,0,0,0,220.351421,579.160312,0,2141.496727,0,68.101304,64,95,0.003337,22.485927,1.580852,43.875802,43.875802,0,0,0,0,6.870361,0,0,64.696598,124.967987,0,0,0,0,17.014886,0,73.4,46.7,34.956269,14.03,61.095585,0.001742,0,0,0,3.008333,95,0.97508,0.076174,12.770881,85.295427,0,64.696598
3922.838479,0.252952,2718.679217,0,0,0,0.012301,0.052787,0,0.187864,1104.733267,1204.159262,1104.733267,0,0,0,132.210853,567.342879,0,2019.125485,1204.159262,67.026437,64,95,0.003319,23.186042,2.461049,56.99673,56.99673,0,0,0,0,-160.217978,0,0,64.696598,124.967987,0,0,0,0,8.521098,0,73.4,48.365,35.204005,11.105,61.095585,0.00147,0,0,0,4.683333,176.666667,0.97508,0.075957,13.54388,85.850151,0,64.696598
2555.978879,0.237814,2555.978879,0,0,0,0.008201,0.047442,0,0.182171,0,0,0,0,0,0,88.140568,509.898446,0,1957.939865,0,65.213168,64,95,0.003299,24.553163,2.355951,54.407961,54.407961,0,0,0,0,-116.275402,0,0,64.696598,124.967987,0,0,0,0,2.130275,0,73.4,47.21,34.750583,12.11,61.095585,0.001547,0,0,0,4.483333,340,0.97508,0.07612,12.924283,85.401089,0,64.696598
3687.691624,0.231022,2482.975825,0,0,0,0.008201,0.046343,0,0.176478,1105.243852,1204.715798,1105.243852,0,0,0,88.140568,498.081013,0,1896.754244,1204.715798,64.747964,64,95,0.003285,24.838862,2.281506,52.858326,52.858326,0,0,0,0,-72.680408,0,0,64.696598,124.967987,0,0,0,0,2.130275,0,73.4,46.025,34.346703,13.19,61.095585,0.001652,0,0,0,4.341667,340,0.97508,0.076286,12.22795,84.899195,0,64.696598
3256.477596,0.30299,3256.477596,0,0.056603,0.00561,0.009117,0.049488,0,0.182171,0,0,0,0,608.359833,60.29484,97.992477,531.890581,0,1957.939865,0,64.104585,64,95,0.003275,25.332029,2.198304,51.346977,51.346977,0,0,4.142197,0,-34.496083,0,0,64.696598,124.967987,193.130106,0,0,0,8.521098,4.142197,134.153044,44.765,33.826137,14.27,61.095585,0.001729,0,0,0,4.183333,340,0.97508,0.076467,11.344508,84.265225,0,64.696598
5563.876146,0.405577,4359.059164,0,0.122947,0.0146,0.025017,0.055149,0,0.187864,1105.336681,1204.816982,1105.336681,0,1321.410564,156.916671,268.879862,592.726581,0,2019.125485,1204.816982,64.121425,64,95,0.003269,25.27115,2.093205,50.123704,50.123704,0,0,9.002846,0,13.108995,0,0,64.696598,124.967987,419.495417,0,0,0,59.565755,9.002846,146.210027,42.77,33.006316,15.77,61.095585,0.001856,0,0,0,3.983333,340,0.97508,0.076755,9.671266,83.076531,0,64.696598
8494.156967,0.661545,7110.157243,0,0.268258,0.03426,0.058733,0.077159,0.0125,0.210635,1269.724517,1383.999724,1269.724517,0,2883.179837,368.218795,631.255693,829.287449,134.3475,2263.867969,1383.999724,64.250226,64,95,0.003262,25.100335,1.988107,69.727955,19.727955,50,0,19.652826,0,-45.76272,1.764245,0.584161,64.696598,124.954832,915.295186,0,0,886.395493,204.205938,19.652826,146.086567,41.825,32.662414,16.73,61.095585,0.001934,0,0,0,3.783333,340,0.97508,0.07689,9.001989,82.601053,0,64.696598
7568.546821,0.592097,6363.734874,0,0.150978,0.021779,0.074326,0.103414,0.0025,0.2391,1105.332062,1204.811948,1105.332062,0,1622.677464,234.078713,798.837806,1111.475318,26.8695,2569.796072,1204.811948,64.140989,64,95,0.003265,25.222036,1.63778,42.050085,42.050085,0,0,11.061928,163.475595,95.370872,0,0,64.696598,125.034317,515.135703,0,0,0,216.960274,11.061928,145.993902,42.215,32.877447,16.775,61.095585,0.00193,164.594551,26.899158,8.532184,3.116667,340,0.97508,0.076831,9.450982,82.918038,59.745037,64.696598
4987.795037,0.464076,4987.795037,0,0.024456,0.005666,0.078987,0.110174,0,0.244793,0,0,0,0,262.851147,60.89322,848.940226,1184.128751,0,2630.981693,0,64.177431,64,95,0.003273,25.248638,0.713792,29.045029,29.045029,0,0,1.791836,535.781906,10.308396,0.042419,0.014099,64.696598,125.07659,83.444809,0,0,21.33241,208.439175,1.791836,109.579172,45.8,34.568272,14.81,61.095585,0.00179,250.576779,84.351012,15.426612,1.358333,252.5,0.97508,0.076304,12.213502,84.899195,100.58787,64.696598
