MF PT 3 Elec IAQ Range + EE - Source Energy|Total (*),MF PT 3 Elec IAQ Range + EE - Site Energy|Total (E),MF PT 3 Elec IAQ Range + EE - Source Energy|Total (E),MF PT 3 Elec IAQ Range + EE - Site Energy|Cooling (E),MF PT 3 Elec IAQ Range + EE - Site Energy|Heating Fan/Pump (E),MF PT 3 Elec IAQ Range + EE - Site Energy|Lights (E),MF PT 3 Elec IAQ Range + EE - Site Energy|Lg. Appl. (E),MF PT 3 Elec IAQ Range + EE - Site Energy|Vent Fan (E),MF PT 3 Elec IAQ Range + EE - Site Energy|Misc. (E),MF PT 3 Elec IAQ Range + EE - Site Energy|Total (G),MF PT 3 Elec IAQ Range + EE - Source Energy|Total (G),MF PT 3 Elec IAQ Range + EE - Site Energy|Heating (G),MF PT 3 Elec IAQ Range + EE - Site Energy|Hot Water (G),MF PT 3 Elec IAQ Range + EE - Source Energy|Cooling (E),MF PT 3 Elec IAQ Range + EE - Source Energy|Heating Fan/Pump (E),MF PT 3 Elec IAQ Range + EE - Source Energy|Lights (E),MF PT 3 Elec IAQ Range + EE - Source Energy|Lg. Appl. (E),MF PT 3 Elec IAQ Range + EE - Source Energy|Vent Fan (E),MF PT 3 Elec IAQ Range + EE - Source Energy|Misc. (E),MF PT 3 Elec IAQ Range + EE - Source Energy|Heating (G),MF PT 3 Elec IAQ Range + EE - Source Energy|Hot Water (G),MF PT 3 Elec IAQ Range + EE - Living Space|Indoor Temperature,MF PT 3 Elec IAQ Range + EE - Living Space|Heating Setpoint,MF PT 3 Elec IAQ Range + EE - Living Space|Cooling Setpoint,MF PT 3 Elec IAQ Range + EE - Living Space|Indoor Humidity,MF PT 3 Elec IAQ Range + EE - Living Space|Indoor Relative Humidity,MF PT 3 Elec IAQ Range + EE - Living Space|Wind Speed (at Building),MF PT 3 Elec IAQ Range + EE - Living Space|Infiltration + Mech. Vent.,MF PT 3 Elec IAQ Range + EE - Living Space|Infiltration,MF PT 3 Elec IAQ Range + EE - Living Space|Mech. Vent. (rated),MF PT 3 Elec IAQ Range + EE - Living Space|Natural Ventilation,MF PT 3 Elec IAQ Range + EE - Living Space|System Flow Rate to Zone,MF PT 3 Elec IAQ Range + EE - Living Space|Zone Glazing Transmitted Solar,MF PT 3 Elec IAQ Range + EE - Living Space|Latent Gains/Losses,MF PT 3 Elec IAQ Range + EE - Domestic Water System|Hot Water Use Flow Rate,MF PT 3 Elec IAQ Range + EE - Domestic Water System|Cold Water Use Flow Rate,MF PT 3 Elec IAQ Range + EE - Domestic Water System|Water Heater Inlet Temperature,MF PT 3 Elec IAQ Range + EE - Domestic Water System|Delivered Hot Water Temperature,MF PT 3 Elec IAQ Range + EE - Delivered Energy|Heating Delivered (main),MF PT 3 Elec IAQ Range + EE - Delivered Energy|Cooling Delivered (sensible),MF PT 3 Elec IAQ Range + EE - Delivered Energy|Cooling Delivered (latent),MF PT 3 Elec IAQ Range + EE - Delivered Energy|DHW Delivered Energy,MF PT 3 Elec IAQ Range + EE - Delivered Energy|DHW Pipe Heat Losses - Unit,MF PT 3 Elec IAQ Range + EE - HVAC System|Total Supply Air Flow Rate,MF PT 3 Elec IAQ Range + EE - HVAC System|Supply Air Temperature,MF PT 3 Elec IAQ Range + EE - Weather|Outdoor Drybulb,MF PT 3 Elec IAQ Range + EE - Weather|Outdoor Wetbulb,MF PT 3 Elec IAQ Range + EE - Weather|Outdoor Dew Point,MF PT 3 Elec IAQ Range + EE - Weather|Ground Temperature,MF PT 3 Elec IAQ Range + EE - Weather|Outdoor Humidity Ratio,MF PT 3 Elec IAQ Range + EE - Weather|Direct Normal Solar,MF PT 3 Elec IAQ Range + EE - Weather|Total Horizontal Solar,MF PT 3 Elec IAQ Range + EE - Weather|Diffuse Horizontal Solar,MF PT 3 Elec IAQ Range + EE - Weather|Wind Speed (at Weather Station),MF PT 3 Elec IAQ Range + EE - Weather|Wind Direction,MF PT 3 Elec IAQ Range + EE - Weather|Atmospheric Pressure,MF PT 3 Elec IAQ Range + EE - Weather|Outdoor Air Density,MF PT 3 Elec IAQ Range + EE - Weather|Sky Temperature,MF PT 3 Elec IAQ Range + EE - Weather|Sky Radiation Losses,MF PT 3 Elec IAQ Range + EE - Weather|Total Vertical Solar,MF PT 3 Elec IAQ Range + EE - Weather|Mains Water Temperature
Btu,kWh,Btu,kWh,kWh,kWh,kWh,kWh,kWh,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,F,F,F,lb/lb,%,m/s,cfm,cfm,cfm,cfm,cfm,Btu,Btu,gph,gph,F,F,Btu,Btu,Btu,Btu,Btu,cfm,F,F,F,F,F,lb/lb,Btu/sqft,Btu/sqft,Btu/sqft,m/s,Deg,Atm,lbm/cuft,F,Btu/sqft,Btu/sqft,F
3476.382641,0.323451,3476.382641,0,0,0.020502,0.053886,0,0.249062,0,0,0,0,0,0,220.351421,579.160312,0,2676.870909,0,0,67.438227,64,95,0.003378,23.300297,1.580852,43.494254,43.494254,0,0,0,0,4.533691,0,0,64.696598,124.764508,0,0,0,0,17.014886,0,73.4,46.7,34.956269,14.03,61.095585,0.001742,0,0,0,3.008333,95,0.97508,0.076174,12.770881,85.295427,0,64.696598
4427.800454,0.299918,3223.460588,0,0,0.012301,0.052787,0,0.23483,1104.898959,1204.339866,0,1104.898959,0,0,132.210853,567.342879,0,2523.906857,0,1204.339866,66.343926,64,95,0.00336,24.034926,2.461049,56.674783,56.674783,0,0,0,0,-165.506424,0,0,64.696598,124.764508,0,0,0,0,8.521098,0,73.4,48.365,35.204005,11.105,61.095585,0.00147,0,0,0,4.683333,176.666667,0.97508,0.075957,13.54388,85.850151,0,64.696598
3058.745472,0.283357,3045.463845,0,0,0.008201,0.047442,0,0.227714,12.184979,13.281627,12.184979,0,0,0,88.140568,509.898446,0,2447.424831,13.281627,0,64.521492,64,95,0.00334,25.461775,2.355951,54.07073,54.07073,0,0,0.157188,0,-120.992294,0,0,64.696598,124.764508,7.310987,0,0,0,2.130275,0.157188,85.818383,47.21,34.750583,12.11,61.095585,0.001547,0,0,0,4.483333,340,0.97508,0.07612,12.924283,85.401089,0,64.696598
4235.906645,0.276215,2968.703212,0,0.001074,0.008201,0.046343,0,0.220598,1162.571957,1267.203433,57.255771,1105.316186,0,11.538826,88.140568,498.081013,0,2370.942805,62.40879,1204.794643,64.07215,64,95,0.003325,25.739821,2.281506,52.514915,52.514915,0,0,0.738637,0,-77.120125,0,0,64.696598,124.764508,34.353462,0,0,0,2.130275,0.738637,98.234191,46.025,34.346703,13.19,61.095585,0.001652,0,0,0,4.341667,340,0.97508,0.076286,12.22795,84.899195,0,64.696598
4370.613989,0.306792,3297.33835,0,0.020472,0.009117,0.049488,0,0.227714,984.656549,1073.275638,984.656549,0,0,220.030461,97.992477,531.890581,0,2447.424831,1073.275638,0,64.180922,64,95,0.003312,25.542095,2.198304,51.328522,51.328522,0,0,12.710038,0,-40.300185,0,0,64.696598,124.764508,590.793929,0,0,0,8.521098,12.710038,147.822159,44.765,33.826137,14.27,61.095585,0.001729,0,0,0,4.183333,340,0.97508,0.076467,11.344508,84.265225,0,64.696598
6276.710362,0.344633,3704.048349,0,0.029637,0.025017,0.055149,0,0.23483,2360.240379,2572.662013,1254.907139,1105.33324,0,318.535049,268.879862,592.726581,0,2523.906857,1367.848781,1204.813232,64.219696,64,95,0.003304,25.451995,2.093205,50.179475,50.179475,0,0,16.209968,0,7.365922,0,0,64.696598,124.764508,752.944283,0,0,0,59.565755,16.209968,147.67584,42.77,33.006316,15.77,61.095585,0.001856,0,0,0,3.983333,340,0.97508,0.076755,9.671266,83.076531,0,64.696598
8698.713225,0.463198,4978.357478,0,0.051511,0.058733,0.077159,0.0125,0.263294,3413.17041,3720.355747,2115.714642,1297.455768,0,553.631876,631.255693,829.287449,134.3475,2829.834961,2306.12896,1414.226787,64.354707,64,95,0.003298,25.282683,1.988107,69.770405,19.770405,50,0,27.331601,0,-51.022034,2.017684,0.662307,64.696598,124.766381,1269.428785,0,0,1011.550556,204.205938,27.331601,147.557005,41.825,32.662414,16.73,61.095585,0.001934,0,0,0,3.783333,340,0.97508,0.07689,9.001989,82.601053,0,64.696598
7922.940591,0.510996,5492.082131,0,0.031881,0.074326,0.103414,0.0025,0.298875,2230.145376,2430.85846,1124.792263,1105.353113,0,342.654417,798.837806,1111.475318,26.8695,3212.245091,1226.023566,1204.834894,64.190903,64,95,0.003301,25.456032,1.63778,42.091329,42.091329,0,0,14.52875,324.629293,91.786496,0,0,64.696598,124.919952,674.875358,0,0,0,216.960274,14.52875,147.456513,42.215,32.877447,16.775,61.095585,0.00193,164.594551,26.899158,8.532184,3.116667,340,0.97508,0.076831,9.450982,82.918038,59.745037,64.696598
6621.7666,0.499183,5365.119413,0,0.004031,0.078987,0.110174,0,0.305991,1152.887328,1256.647187,47.714254,1105.173074,0,43.32332,848.940226,1184.128751,0,3288.727116,52.008536,1204.638651,64.510283,64,95,0.003309,25.232964,0.713792,29.245556,29.245556,0,0,0.616282,1026.902279,8.01057,0.048518,0.01598,64.696598,124.922768,28.628552,0,0,24.34445,208.439175,0.616282,85.47511,45.8,34.568272,14.81,61.095585,0.00179,250.576779,84.351012,15.426612,1.358333,252.5,0.97508,0.076304,12.213502,84.899195,100.58787,64.696598
