MF PT 1 Elec Cost Focused Partial Electrification + EE - Source Energy|Total (*),MF PT 1 Elec Cost Focused Partial Electrification + EE - Site Energy|Total (E),MF PT 1 Elec Cost Focused Partial Electrification + EE - Source Energy|Total (E),MF PT 1 Elec Cost Focused Partial Electrification + EE - Site Energy|Cooling (E),MF PT 1 Elec Cost Focused Partial Electrification + EE - Site Energy|Heating (E),MF PT 1 Elec Cost Focused Partial Electrification + EE - Site Energy|Cooling Fan/Pump (E),MF PT 1 Elec Cost Focused Partial Electrification + EE - Site Energy|Heating Fan/Pump (E),MF PT 1 Elec Cost Focused Partial Electrification + EE - Site Energy|Lights (E),MF PT 1 Elec Cost Focused Partial Electrification + EE - Site Energy|Lg. Appl. (E),MF PT 1 Elec Cost Focused Partial Electrification + EE - Site Energy|Vent Fan (E),MF PT 1 Elec Cost Focused Partial Electrification + EE - Site Energy|Misc. (E),MF PT 1 Elec Cost Focused Partial Electrification + EE - Site Energy|Total (G),MF PT 1 Elec Cost Focused Partial Electrification + EE - Source Energy|Total (G),MF PT 1 Elec Cost Focused Partial Electrification + EE - Site Energy|Hot Water (G),MF PT 1 Elec Cost Focused Partial Electrification + EE - Source Energy|Cooling (E),MF PT 1 Elec Cost Focused Partial Electrification + EE - Source Energy|Heating (E),MF PT 1 Elec Cost Focused Partial Electrification + EE - Source Energy|Cooling Fan/Pump (E),MF PT 1 Elec Cost Focused Partial Electrification + EE - Source Energy|Heating Fan/Pump (E),MF PT 1 Elec Cost Focused Partial Electrification + EE - Source Energy|Lights (E),MF PT 1 Elec Cost Focused Partial Electrification + EE - Source Energy|Lg. Appl. (E),MF PT 1 Elec Cost Focused Partial Electrification + EE - Source Energy|Vent Fan (E),MF PT 1 Elec Cost Focused Partial Electrification + EE - Source Energy|Misc. (E),MF PT 1 Elec Cost Focused Partial Electrification + EE - Source Energy|Hot Water (G),MF PT 1 Elec Cost Focused Partial Electrification + EE - Living Space|Indoor Temperature,MF PT 1 Elec Cost Focused Partial Electrification + EE - Living Space|Heating Setpoint,MF PT 1 Elec Cost Focused Partial Electrification + EE - Living Space|Cooling Setpoint,MF PT 1 Elec Cost Focused Partial Electrification + EE - Living Space|Indoor Humidity,MF PT 1 Elec Cost Focused Partial Electrification + EE - Living Space|Indoor Relative Humidity,MF PT 1 Elec Cost Focused Partial Electrification + EE - Living Space|Wind Speed (at Building),MF PT 1 Elec Cost Focused Partial Electrification + EE - Living Space|Infiltration + Mech. Vent.,MF PT 1 Elec Cost Focused Partial Electrification + EE - Living Space|Infiltration,MF PT 1 Elec Cost Focused Partial Electrification + EE - Living Space|Mech. Vent. (rated),MF PT 1 Elec Cost Focused Partial Electrification + EE - Living Space|Natural Ventilation,MF PT 1 Elec Cost Focused Partial Electrification + EE - Living Space|System Flow Rate to Zone,MF PT 1 Elec Cost Focused Partial Electrification + EE - Living Space|Zone Glazing Transmitted Solar,MF PT 1 Elec Cost Focused Partial Electrification + EE - Living Space|Latent Gains/Losses,MF PT 1 Elec Cost Focused Partial Electrification + EE - Domestic Water System|Hot Water Use Flow Rate,MF PT 1 Elec Cost Focused Partial Electrification + EE - Domestic Water System|Cold Water Use Flow Rate,MF PT 1 Elec Cost Focused Partial Electrification + EE - Domestic Water System|Water Heater Inlet Temperature,MF PT 1 Elec Cost Focused Partial Electrification + EE - Domestic Water System|Delivered Hot Water Temperature,MF PT 1 Elec Cost Focused Partial Electrification + EE - Delivered Energy|Heating Delivered (main),MF PT 1 Elec Cost Focused Partial Electrification + EE - Delivered Energy|Cooling Delivered (sensible),MF PT 1 Elec Cost Focused Partial Electrification + EE - Delivered Energy|Cooling Delivered (latent),MF PT 1 Elec Cost Focused Partial Electrification + EE - Delivered Energy|DHW Delivered Energy,MF PT 1 Elec Cost Focused Partial Electrification + EE - Delivered Energy|DHW Pipe Heat Losses - Unit,MF PT 1 Elec Cost Focused Partial Electrification + EE - Weather|Outdoor Drybulb,MF PT 1 Elec Cost Focused Partial Electrification + EE - Weather|Outdoor Wetbulb,MF PT 1 Elec Cost Focused Partial Electrification + EE - Weather|Outdoor Dew Point,MF PT 1 Elec Cost Focused Partial Electrification + EE - Weather|Ground Temperature,MF PT 1 Elec Cost Focused Partial Electrification + EE - Weather|Outdoor Humidity Ratio,MF PT 1 Elec Cost Focused Partial Electrification + EE - Weather|Direct Normal Solar,MF PT 1 Elec Cost Focused Partial Electrification + EE - Weather|Total Horizontal Solar,MF PT 1 Elec Cost Focused Partial Electrification + EE - Weather|Diffuse Horizontal Solar,MF PT 1 Elec Cost Focused Partial Electrification + EE - Weather|Wind Speed (at Weather Station),MF PT 1 Elec Cost Focused Partial Electrification + EE - Weather|Wind Direction,MF PT 1 Elec Cost Focused Partial Electrification + EE - Weather|Atmospheric Pressure,MF PT 1 Elec Cost Focused Partial Electrification + EE - Weather|Outdoor Air Density,MF PT 1 Elec Cost Focused Partial Electrification + EE - Weather|Sky Temperature,MF PT 1 Elec Cost Focused Partial Electrification + EE - Weather|Sky Radiation Losses,MF PT 1 Elec Cost Focused Partial Electrification + EE - Weather|Total Vertical Solar,MF PT 1 Elec Cost Focused Partial Electrification + EE - Weather|Mains Water Temperature
Btu,kWh,Btu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,F,F,F,lb/lb,%,m/s,cfm,cfm,cfm,cfm,cfm,Btu,Btu,gph,gph,F,F,Btu,Btu,Btu,Btu,Btu,F,F,F,F,lb/lb,Btu/sqft,Btu/sqft,Btu/sqft,m/s,Deg,Atm,lbm/cuft,F,Btu/sqft,Btu/sqft,F
5072.554866,0.471962,5072.554866,0,0.193754,0,0.00457,0.020502,0.053886,0,0.19925,0,0,0,0,2082.42433,0,49.122076,220.351421,579.160312,0,2141.496727,0,71.00028,71,95,0.003292,20.071059,1.580852,45.133821,45.133821,0,0,91.185021,0,6.449526,0,0,64.696598,125.394168,3243.315899,0,0,0,17.014886,46.7,34.956269,14.03,61.095585,0.001742,0,0,0,3.008333,95,0.97508,0.076174,12.770881,85.295427,0,64.696598
5386.211419,0.427388,4593.477812,0,0.169123,0,0.005313,0.012301,0.052787,0,0.187864,727.278539,792.733607,727.278539,0,1817.69651,0,57.102085,132.210853,567.342879,0,2019.125485,792.733607,71,71,95,0.003274,19.961708,2.461049,58.908805,58.908805,0,0,74.972569,0,-164.621186,0,0,64.696598,125.394168,2474.480527,0,0,0,8.521098,48.365,35.204005,11.105,61.095585,0.00147,0,0,0,4.683333,176.666667,0.97508,0.075957,13.54388,85.850151,0,64.696598
5765.69731,0.498283,5355.445782,0,0.252826,0,0.007643,0.008201,0.047442,0,0.182171,376.377549,410.251528,376.377549,0,2717.321044,0,82.145859,88.140568,509.898446,0,1957.939865,410.251528,71,71,95,0.003251,19.826188,2.355951,57.080513,57.080513,0,0,130.721676,0,-125.813837,0,0,64.696598,125.394168,4314.641995,0,0,0,2.130275,47.21,34.750583,12.11,61.095585,0.001547,0,0,0,4.483333,340,0.97508,0.07612,12.924283,85.401089,0,64.696598
5439.093891,0.46454,4992.784523,0,0.226156,0,0.007363,0.008201,0.046343,0,0.176478,409.458136,446.309369,409.458136,0,2430.675139,0,79.133559,88.140568,498.081013,0,1896.754244,446.309369,71,71,95,0.003235,19.727528,2.281506,56.052019,56.052019,0,0,108.68874,0,-84.750441,0,0,64.696598,125.394168,3587.505414,0,0,0,2.130275,46.025,34.346703,13.19,61.095585,0.001652,0,0,0,4.341667,340,0.97508,0.076286,12.22795,84.899195,0,64.696598
6437.114046,0.52852,5680.427821,0,0.27888,0,0.008863,0.009117,0.049488,0,0.182171,694.207546,756.686225,694.207546,0,2997.344869,0,95.26003,97.992477,531.890581,0,1957.939865,756.686225,71,71,95,0.003225,19.664824,2.198304,54.970298,54.970298,0,0,146.335429,0,-48.49776,0,0,64.696598,125.394168,4830.197852,0,0,0,8.521098,44.765,33.826137,14.27,61.095585,0.001729,0,0,0,4.183333,340,0.97508,0.076467,11.344508,84.265225,0,64.696598
5901.778465,0.539986,5803.658045,0,0.26324,0,0.008716,0.025017,0.055149,0,0.187864,90.018734,98.12042,90.018734,0,2829.252004,0,93.674112,268.879862,592.726581,0,2019.125485,98.12042,71,71,95,0.00322,19.637037,2.093205,53.973156,53.973156,0,0,131.870031,0,-0.747103,0,0,64.696598,125.394168,4352.764303,0,0,0,59.565755,42.77,33.006316,15.77,61.095585,0.001856,0,0,0,3.983333,340,0.97508,0.076755,9.671266,83.076531,0,64.696598
10402.70635,0.740455,7958.265935,0,0.370832,0,0.010596,0.058733,0.077159,0.0125,0.210635,2242.605883,2444.440412,2242.605883,0,3985.624956,0,113.88237,631.255693,829.287449,134.3475,2263.867969,2444.440412,71,71,95,0.003215,19.603251,1.988107,72.527826,22.527827,50,0,171.579447,0,-52.79998,1.390596,0.460434,64.696598,125.335168,5663.529097,0,0,698.6629,204.205938,41.825,32.662414,16.73,61.095585,0.001934,0,0,0,3.783333,340,0.97508,0.07689,9.001989,82.601053,0,64.696598
7451.541783,0.693309,7451.541783,0,0.264941,0,0.009027,0.074326,0.103414,0.0025,0.2391,0,0,0,0,2847.53799,0,97.025098,798.837806,1111.475318,26.8695,2569.796072,0,71,71,95,0.003217,19.615339,1.63778,46.591276,46.591276,0,0,132.534447,163.475595,76.427998,0,0,64.696598,124.826756,4374.732261,0,0,0,216.960274,42.215,32.877447,16.775,61.095585,0.00193,164.594551,26.899158,8.532184,3.116667,340,0.97508,0.076831,9.450982,82.918038,59.745037,64.696598
8418.938437,0.671368,7215.733406,0,0.229937,0,0.007478,0.078987,0.110174,0,0.244793,1103.857826,1203.205031,1103.857826,0,2471.315676,0,80.367061,848.940226,1184.128751,0,2630.981693,1203.205031,71,71,95,0.00322,19.63728,0.713792,35.07398,35.07398,0,0,111.484246,535.781906,-25.126251,0.033581,0.010967,64.696598,124.770304,3679.868595,0,0,16.814349,208.439175,45.8,34.568272,14.81,61.095585,0.00179,250.576779,84.351012,15.426612,1.358333,252.5,0.97508,0.076304,12.213502,84.899195,100.58787,64.696598
