MF PT 1 Elec All Elec + EE - Source Energy|Total (*),MF PT 1 Elec All Elec + EE - Site Energy|Total (E),MF PT 1 Elec All Elec + EE - Source Energy|Total (E),MF PT 1 Elec All Elec + EE - Site Energy|Cooling (E),MF PT 1 Elec All Elec + EE - Site Energy|Heating (E),MF PT 1 Elec All Elec + EE - Site Energy|Cooling Fan/Pump (E),MF PT 1 Elec All Elec + EE - Site Energy|Heating Fan/Pump (E),MF PT 1 Elec All Elec + EE - Site Energy|Hot Water (E),MF PT 1 Elec All Elec + EE - Site Energy|Hot Water - Suppl. (E),MF PT 1 Elec All Elec + EE - Site Energy|Lights (E),MF PT 1 Elec All Elec + EE - Site Energy|Lg. Appl. (E),MF PT 1 Elec All Elec + EE - Site Energy|Vent Fan (E),MF PT 1 Elec All Elec + EE - Site Energy|Misc. (E),MF PT 1 Elec All Elec + EE - Source Energy|Cooling (E),MF PT 1 Elec All Elec + EE - Source Energy|Heating (E),MF PT 1 Elec All Elec + EE - Source Energy|Cooling Fan/Pump (E),MF PT 1 Elec All Elec + EE - Source Energy|Heating Fan/Pump (E),MF PT 1 Elec All Elec + EE - Source Energy|Hot Water (E),MF PT 1 Elec All Elec + EE - Source Energy|Hot Water - Suppl. (E),MF PT 1 Elec All Elec + EE - Source Energy|Lights (E),MF PT 1 Elec All Elec + EE - Source Energy|Lg. Appl. (E),MF PT 1 Elec All Elec + EE - Source Energy|Vent Fan (E),MF PT 1 Elec All Elec + EE - Source Energy|Misc. (E),MF PT 1 Elec All Elec + EE - Living Space|Indoor Temperature,MF PT 1 Elec All Elec + EE - Living Space|Heating Setpoint,MF PT 1 Elec All Elec + EE - Living Space|Cooling Setpoint,MF PT 1 Elec All Elec + EE - Living Space|Indoor Humidity,MF PT 1 Elec All Elec + EE - Living Space|Indoor Relative Humidity,MF PT 1 Elec All Elec + EE - Living Space|Wind Speed (at Building),MF PT 1 Elec All Elec + EE - Living Space|Infiltration + Mech. Vent.,MF PT 1 Elec All Elec + EE - Living Space|Infiltration,MF PT 1 Elec All Elec + EE - Living Space|Mech. Vent. (rated),MF PT 1 Elec All Elec + EE - Living Space|Natural Ventilation,MF PT 1 Elec All Elec + EE - Living Space|System Flow Rate to Zone,MF PT 1 Elec All Elec + EE - Living Space|Zone Glazing Transmitted Solar,MF PT 1 Elec All Elec + EE - Living Space|Latent Gains/Losses,MF PT 1 Elec All Elec + EE - Domestic Water System|Hot Water Use Flow Rate,MF PT 1 Elec All Elec + EE - Domestic Water System|Cold Water Use Flow Rate,MF PT 1 Elec All Elec + EE - Domestic Water System|Water Heater Inlet Temperature,MF PT 1 Elec All Elec + EE - Domestic Water System|Delivered Hot Water Temperature,MF PT 1 Elec All Elec + EE - Domestic Water System|HPWH Sensible Heat Removed (inc. fan heat),MF PT 1 Elec All Elec + EE - Domestic Water System|HPWH Latent Heat Removed,MF PT 1 Elec All Elec + EE - Delivered Energy|Heating Delivered (main),MF PT 1 Elec All Elec + EE - Delivered Energy|Cooling Delivered (sensible),MF PT 1 Elec All Elec + EE - Delivered Energy|Cooling Delivered (latent),MF PT 1 Elec All Elec + EE - Delivered Energy|DHW Delivered Energy,MF PT 1 Elec All Elec + EE - Delivered Energy|DHW Pipe Heat Losses - Unit,MF PT 1 Elec All Elec + EE - Weather|Outdoor Drybulb,MF PT 1 Elec All Elec + EE - Weather|Outdoor Wetbulb,MF PT 1 Elec All Elec + EE - Weather|Outdoor Dew Point,MF PT 1 Elec All Elec + EE - Weather|Ground Temperature,MF PT 1 Elec All Elec + EE - Weather|Outdoor Humidity Ratio,MF PT 1 Elec All Elec + EE - Weather|Direct Normal Solar,MF PT 1 Elec All Elec + EE - Weather|Total Horizontal Solar,MF PT 1 Elec All Elec + EE - Weather|Diffuse Horizontal Solar,MF PT 1 Elec All Elec + EE - Weather|Wind Speed (at Weather Station),MF PT 1 Elec All Elec + EE - Weather|Wind Direction,MF PT 1 Elec All Elec + EE - Weather|Atmospheric Pressure,MF PT 1 Elec All Elec + EE - Weather|Outdoor Air Density,MF PT 1 Elec All Elec + EE - Weather|Sky Temperature,MF PT 1 Elec All Elec + EE - Weather|Sky Radiation Losses,MF PT 1 Elec All Elec + EE - Weather|Total Vertical Solar,MF PT 1 Elec All Elec + EE - Weather|Mains Water Temperature
Btu,kWh,Btu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,F,F,F,lb/lb,%,m/s,cfm,cfm,cfm,cfm,cfm,Btu,Btu,gph,gph,F,F,Btu,Btu,Btu,Btu,Btu,Btu,Btu,F,F,F,F,lb/lb,Btu/sqft,Btu/sqft,Btu/sqft,m/s,Deg,Atm,lbm/cuft,F,Btu/sqft,Btu/sqft,F
5187.597741,0.482666,5187.597741,0,0.201296,0,0.004732,0.003,0,0.020502,0.053886,0,0.19925,0,2163.492487,0,50.853395,32.2434,0,220.351421,579.160312,0,2141.496727,71.000051,71,95,0.003387,20.649515,1.580852,42.171492,42.171492,0,0,94.325651,0,9.857607,0,0,64.696598,124.697038,0,0,3112.722031,0,0,0,17.014886,46.7,34.956269,14.03,61.095585,0.001742,0,0,0,3.008333,95,0.97508,0.076174,12.770881,85.295427,0,64.696598
5178.386884,0.481809,5178.386884,0,0.178781,0,0.005374,0.044702,0,0.012301,0.052787,0,0.187864,0,1921.50191,0,57.755352,480.450405,0,132.210853,567.342879,0,2019.125485,71,71,95,0.003371,20.550264,2.461049,54.850662,54.850662,0,0,81.100498,0,-154.756264,0,0,64.696598,124.697038,199.278635,0,2676.350565,0,0,0,8.521098,48.365,35.204005,11.105,61.095585,0.00147,0,0,0,4.683333,176.666667,0.97508,0.075957,13.54388,85.850151,0,64.696598
5414.124143,0.503743,5414.124143,0,0.254828,0,0.008101,0.003,0,0.008201,0.047442,0,0.182171,0,2738.835166,0,87.066698,32.2434,0,88.140568,509.898446,0,1957.939865,71,71,95,0.00335,20.42248,2.355951,53.192726,53.192726,0,0,132.352447,0,-118.906763,0,0,64.696598,124.697038,0,0,4367.828978,0,0,0,2.130275,47.21,34.750583,12.11,61.095585,0.001547,0,0,0,4.483333,340,0.97508,0.07612,12.924283,85.401089,0,64.696598
5540.579381,0.515508,5540.579381,0,0.23302,0,0.00773,0.043736,0,0.008201,0.046343,0,0.176478,0,2504.456631,0,83.081545,470.065379,0,88.140568,498.081013,0,1896.754244,71,71,95,0.003334,20.328811,2.281506,52.272487,52.272487,0,0,113.993547,0,-80.775382,0,0,64.696598,124.697038,194.267567,0,3762.047881,0,0,0,2.130275,46.025,34.346703,13.19,61.095585,0.001652,0,0,0,4.341667,340,0.97508,0.076286,12.22795,84.899195,0,64.696598
5719.004406,0.532109,5719.004406,0,0.279463,0,0.00887,0.003,0,0.009117,0.049488,0,0.182171,0,3003.607897,0,95.330186,32.2434,0,97.992477,531.890581,0,1957.939865,71,71,95,0.003324,20.268682,2.198304,51.306746,51.306746,0,0,146.676647,0,-46.646617,0,0,64.696598,124.697038,0,0,4840.742983,0,0,0,8.521098,44.765,33.826137,14.27,61.095585,0.001729,0,0,0,4.183333,340,0.97508,0.076467,11.344508,84.265225,0,64.696598
6419.078193,0.597246,6419.078193,0,0.275675,0,0.009047,0.044494,0,0.025017,0.055149,0,0.187864,0,2962.89943,0,97.237557,478.209276,0,268.879862,592.726581,0,2019.125485,71,71,95,0.00332,20.241438,2.093205,50.437162,50.437162,0,0,136.775216,0,-1.742288,0,0,64.696598,124.697038,197.762143,0,4514.004484,0,0,0,59.565755,42.77,33.006316,15.77,61.095585,0.001856,0,0,0,3.983333,340,0.97508,0.076755,9.671266,83.076531,0,64.696598
8016.48437,0.745872,8016.48437,0,0.373227,0,0.010618,0.003,0,0.058733,0.077159,0.0125,0.210635,0,4011.365189,0,114.117171,32.2434,0,631.255693,829.287449,134.3475,2263.867969,71,71,95,0.003313,20.198414,1.988107,70.10864,20.108641,50,0,172.303543,0,-71.631423,1.404142,0.446887,64.696598,124.642093,0,0,5686.595364,0,0,698.6629,204.205938,41.825,32.662414,16.73,61.095585,0.001934,0,0,0,3.783333,340,0.97508,0.07689,9.001989,82.601053,0,64.696598
8218.962208,0.764711,8218.962208,0,0.284518,0,0.009488,0.051366,0,0.074326,0.103414,0.0025,0.2391,0,3057.94005,0,101.974909,552.068553,0,798.837806,1111.475318,26.8695,2569.796072,71,71,95,0.003313,20.200828,1.63778,43.697374,43.697374,0,0,139.622813,163.475595,73.963812,0,0,64.696598,124.316673,234.482378,0,4608.043911,0,0,0,216.960274,42.215,32.877447,16.775,61.095585,0.00193,164.594551,26.899158,8.532184,3.116667,340,0.97508,0.076831,9.450982,82.918038,59.745037,64.696598
7268.160701,0.676246,7268.160701,0,0.231753,0,0.00754,0.003,0,0.078987,0.110174,0,0.244793,0,2490.830044,0,81.036586,32.2434,0,848.940226,1184.128751,0,2630.981693,71,71,95,0.003316,20.220658,0.713792,33.10031,33.10031,0,0,112.767275,535.781906,-27.002036,0.033843,0.010705,64.696598,124.341143,0,0,3721.68519,0,0,16.814349,208.439175,45.8,34.568272,14.81,61.095585,0.00179,250.576779,84.351012,15.426612,1.358333,252.5,0.97508,0.076304,12.213502,84.899195,100.58787,64.696598
