SF PT 3 Elec All Elec + EE - Source Energy|Total (*),SF PT 3 Elec All Elec + EE - Site Energy|Total (E),SF PT 3 Elec All Elec + EE - Source Energy|Total (E),SF PT 3 Elec All Elec + EE - Site Energy|Cooling (E),SF PT 3 Elec All Elec + EE - Site Energy|Heating (E),SF PT 3 Elec All Elec + EE - Site Energy|Cooling Fan/Pump (E),SF PT 3 Elec All Elec + EE - Site Energy|Heating Fan/Pump (E),SF PT 3 Elec All Elec + EE - Site Energy|Hot Water (E),SF PT 3 Elec All Elec + EE - Site Energy|Hot Water - Suppl. (E),SF PT 3 Elec All Elec + EE - Site Energy|Lights (E),SF PT 3 Elec All Elec + EE - Site Energy|Lg. Appl. (E),SF PT 3 Elec All Elec + EE - Site Energy|Vent Fan (E),SF PT 3 Elec All Elec + EE - Site Energy|Misc. (E),SF PT 3 Elec All Elec + EE - Source Energy|Cooling (E),SF PT 3 Elec All Elec + EE - Source Energy|Heating (E),SF PT 3 Elec All Elec + EE - Source Energy|Cooling Fan/Pump (E),SF PT 3 Elec All Elec + EE - Source Energy|Heating Fan/Pump (E),SF PT 3 Elec All Elec + EE - Source Energy|Hot Water (E),SF PT 3 Elec All Elec + EE - Source Energy|Hot Water - Suppl. (E),SF PT 3 Elec All Elec + EE - Source Energy|Lights (E),SF PT 3 Elec All Elec + EE - Source Energy|Lg. Appl. (E),SF PT 3 Elec All Elec + EE - Source Energy|Vent Fan (E),SF PT 3 Elec All Elec + EE - Source Energy|Misc. (E),SF PT 3 Elec All Elec + EE - Living Space|Indoor Temperature,SF PT 3 Elec All Elec + EE - Living Space|Heating Setpoint,SF PT 3 Elec All Elec + EE - Living Space|Cooling Setpoint,SF PT 3 Elec All Elec + EE - Living Space|Indoor Humidity,SF PT 3 Elec All Elec + EE - Living Space|Indoor Relative Humidity,SF PT 3 Elec All Elec + EE - Living Space|Wind Speed (at Building),SF PT 3 Elec All Elec + EE - Living Space|Infiltration + Mech. Vent.,SF PT 3 Elec All Elec + EE - Living Space|Infiltration,SF PT 3 Elec All Elec + EE - Living Space|Mech. Vent. (rated),SF PT 3 Elec All Elec + EE - Living Space|Natural Ventilation,SF PT 3 Elec All Elec + EE - Living Space|System Flow Rate to Zone,SF PT 3 Elec All Elec + EE - Living Space|Zone Glazing Transmitted Solar,SF PT 3 Elec All Elec + EE - Living Space|Latent Gains/Losses,SF PT 3 Elec All Elec + EE - Domestic Water System|Hot Water Use Flow Rate,SF PT 3 Elec All Elec + EE - Domestic Water System|Cold Water Use Flow Rate,SF PT 3 Elec All Elec + EE - Domestic Water System|Water Heater Inlet Temperature,SF PT 3 Elec All Elec + EE - Domestic Water System|Delivered Hot Water Temperature,SF PT 3 Elec All Elec + EE - Domestic Water System|HPWH Sensible Heat Removed (inc. fan heat),SF PT 3 Elec All Elec + EE - Domestic Water System|HPWH Latent Heat Removed,SF PT 3 Elec All Elec + EE - Delivered Energy|Heating Delivered (main),SF PT 3 Elec All Elec + EE - Delivered Energy|Cooling Delivered (sensible),SF PT 3 Elec All Elec + EE - Delivered Energy|Cooling Delivered (latent),SF PT 3 Elec All Elec + EE - Delivered Energy|DHW Delivered Energy,SF PT 3 Elec All Elec + EE - Delivered Energy|DHW Pipe Heat Losses - Unit,SF PT 3 Elec All Elec + EE - Weather|Outdoor Drybulb,SF PT 3 Elec All Elec + EE - Weather|Outdoor Wetbulb,SF PT 3 Elec All Elec + EE - Weather|Outdoor Dew Point,SF PT 3 Elec All Elec + EE - Weather|Ground Temperature,SF PT 3 Elec All Elec + EE - Weather|Outdoor Humidity Ratio,SF PT 3 Elec All Elec + EE - Weather|Direct Normal Solar,SF PT 3 Elec All Elec + EE - Weather|Total Horizontal Solar,SF PT 3 Elec All Elec + EE - Weather|Diffuse Horizontal Solar,SF PT 3 Elec All Elec + EE - Weather|Wind Speed (at Weather Station),SF PT 3 Elec All Elec + EE - Weather|Wind Direction,SF PT 3 Elec All Elec + EE - Weather|Atmospheric Pressure,SF PT 3 Elec All Elec + EE - Weather|Outdoor Air Density,SF PT 3 Elec All Elec + EE - Weather|Sky Temperature,SF PT 3 Elec All Elec + EE - Weather|Sky Radiation Losses,SF PT 3 Elec All Elec + EE - Weather|Total Vertical Solar,SF PT 3 Elec All Elec + EE - Weather|Mains Water Temperature
Btu,kWh,Btu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,F,F,F,lb/lb,%,m/s,cfm,cfm,cfm,cfm,cfm,Btu,Btu,gph,gph,F,F,Btu,Btu,Btu,Btu,Btu,Btu,Btu,F,F,F,F,lb/lb,Btu/sqft,Btu/sqft,Btu/sqft,m/s,Deg,Atm,lbm/cuft,F,Btu/sqft,Btu/sqft,F
3508.626041,0.326451,3508.626041,0,0,0,0,0.003,0,0.020502,0.053886,0,0.249062,0,0,0,0,32.2434,0,220.351421,579.160312,0,2676.870909,67.160766,64,95,0.003642,25.346449,1.580852,40.529137,40.529137,0,0,0,0,-23.48236,0,0,64.696598,124.391409,0,0,0,0,0,0,17.014886,46.7,34.956269,14.03,61.095585,0.001742,0,0,0,3.008333,95,0.97508,0.076174,12.770881,85.295427,0,64.696598
3703.276518,0.344561,3703.276518,0,0,0,0,0.044643,0,0.012301,0.052787,0,0.23483,0,0,0,0,479.81593,0,132.210853,567.342879,0,2523.906857,66.010812,64,95,0.003621,26.191782,2.461049,52.580459,52.580459,0,0,0,0,-194.973805,0,0,64.696598,124.391409,190.284222,0,0,0,0,0,8.521098,48.365,35.204005,11.105,61.095585,0.00147,0,0,0,4.683333,176.666667,0.97508,0.075957,13.54388,85.850151,0,64.696598
3132.743184,0.291478,3132.743184,0,0.005084,0,0.000037,0.003,0,0.008201,0.047442,0,0.227714,0,54.642776,0,0.393163,32.2434,0,88.140568,509.898446,0,2447.424831,64.454119,64,95,0.003603,27.519808,2.355951,50.225227,50.225227,0,0,2.012085,0,-152.213815,0,0,64.696598,124.391409,0,0,67.206039,0,0,0,2.130275,47.21,34.750583,12.11,61.095585,0.001547,0,0,0,4.483333,340,0.97508,0.07612,12.924283,85.401089,0,64.696598
3682.048525,0.342586,3682.048525,0,0.020805,0,0.000548,0.046092,0,0.008201,0.046343,0,0.220598,0,223.611507,0,5.885869,495.386762,0,88.140568,498.081013,0,2370.942805,64.025152,64,95,0.003585,27.788618,2.281506,48.8548,48.8548,0,0,8.147922,0,-109.740867,0,0,64.696598,124.391409,190.462445,0,272.150212,0,0,0,2.130275,46.025,34.346703,13.19,61.095585,0.001652,0,0,0,4.341667,340,0.97508,0.076286,12.22795,84.899195,0,64.696598
4344.925163,0.404262,4344.925163,0,0.069046,0,0.001461,0.047435,0,0.009117,0.049488,0,0.227714,0,742.088798,0,15.707747,509.820729,0,97.992477,531.890581,0,2447.424831,64,64,95,0.003571,27.705283,2.198304,47.736066,47.736066,0,0,26.622398,0,-73.47973,0,0,64.696598,124.391409,195.971557,0,889.323518,0,0,0,8.521098,44.765,33.826137,14.27,61.095585,0.001729,0,0,0,4.183333,340,0.97508,0.076467,11.344508,84.265225,0,64.696598
4542.010817,0.422599,4542.010817,0,0.102138,0,0.002466,0.003,0,0.025017,0.055149,0,0.23483,0,1097.755297,0,26.49882,32.2434,0,268.879862,592.726581,0,2523.906857,64,64,95,0.003563,27.641779,2.093205,46.690402,46.690402,0,0,39.116467,0,-27.473584,0,0,64.696598,124.391409,0,0,1306.705673,0,0,0,59.565755,42.77,33.006316,15.77,61.095585,0.001856,0,0,0,3.983333,340,0.97508,0.076755,9.671266,83.076531,0,64.696598
6644.502664,0.61822,6644.502664,0,0.15409,0,0.003896,0.048548,0,0.058733,0.077159,0.0125,0.263294,0,1656.127432,0,41.869095,521.780534,0,631.255693,829.287449,134.3475,2829.834961,64,64,95,0.00355,27.541264,1.988107,67.428403,17.428403,50,0,61.727201,0,-119.659956,2.020655,0.659335,64.696598,124.465993,200.708846,0,2062.064101,0,0,1011.550556,204.205938,41.825,32.662414,16.73,61.095585,0.001934,0,0,0,3.783333,340,0.97508,0.07689,9.001989,82.601053,0,64.696598
6152.686044,0.57246,6152.686044,0,0.087923,0,0.002423,0.003,0,0.074326,0.103414,0.0025,0.298875,0,944.976524,0,26.038406,32.2434,0,798.837806,1111.475318,26.8695,3212.245091,64,64,95,0.003546,27.514452,1.63778,39.264897,39.264897,0,0,32.869927,324.629293,63.256333,0,0,64.696598,124.889489,0,0,1098.068466,0,0,0,216.960274,42.215,32.877447,16.775,61.095585,0.00193,164.594551,26.899158,8.532184,3.116667,340,0.97508,0.076831,9.450982,82.918038,59.745037,64.696598
6238.000319,0.580398,6238.000319,0,0.024574,0,0.000861,0.059811,0,0.078987,0.110174,0,0.305991,0,264.116957,0,9.251249,642.836019,0,848.940226,1184.128751,0,3288.727116,64.370931,64,95,0.00355,27.191683,0.713792,27.456524,27.456524,0,0,9.487714,1026.902279,-11.387782,0.048577,0.015921,64.696598,124.814998,259.857369,0,316.948313,0,0,24.34445,208.439175,45.8,34.568272,14.81,61.095585,0.00179,250.576779,84.351012,15.426612,1.358333,252.5,0.97508,0.076304,12.213502,84.899195,100.58787,64.696598
