MF PT 2 Baseline - Source Energy|Total (*),MF PT 2 Baseline - Site Energy|Total (E),MF PT 2 Baseline - Source Energy|Total (E),MF PT 2 Baseline - Site Energy|Cooling (E),MF PT 2 Baseline - Site Energy|Heating (E),MF PT 2 Baseline - Site Energy|Heating Fan/Pump (E),MF PT 2 Baseline - Site Energy|Lights (E),MF PT 2 Baseline - Site Energy|Lg. Appl. (E),MF PT 2 Baseline - Site Energy|Vent Fan (E),MF PT 2 Baseline - Site Energy|Misc. (E),MF PT 2 Baseline - Site Energy|Total (G),MF PT 2 Baseline - Source Energy|Total (G),MF PT 2 Baseline - Site Energy|Hot Water (G),MF PT 2 Baseline - Site Energy|Lg. Appl. (G),MF PT 2 Baseline - Source Energy|Cooling (E),MF PT 2 Baseline - Source Energy|Heating (E),MF PT 2 Baseline - Source Energy|Heating Fan/Pump (E),MF PT 2 Baseline - Source Energy|Lights (E),MF PT 2 Baseline - Source Energy|Lg. Appl. (E),MF PT 2 Baseline - Source Energy|Vent Fan (E),MF PT 2 Baseline - Source Energy|Misc. (E),MF PT 2 Baseline - Source Energy|Hot Water (G),MF PT 2 Baseline - Source Energy|Lg. Appl. (G),MF PT 2 Baseline - Living Space|Indoor Temperature,MF PT 2 Baseline - Living Space|Heating Setpoint,MF PT 2 Baseline - Living Space|Cooling Setpoint,MF PT 2 Baseline - Living Space|Indoor Humidity,MF PT 2 Baseline - Living Space|Indoor Relative Humidity,MF PT 2 Baseline - Living Space|Wind Speed (at Building),MF PT 2 Baseline - Living Space|Infiltration + Mech. Vent.,MF PT 2 Baseline - Living Space|Infiltration,MF PT 2 Baseline - Living Space|Mech. Vent. (rated),MF PT 2 Baseline - Living Space|Natural Ventilation,MF PT 2 Baseline - Living Space|System Flow Rate to Zone,MF PT 2 Baseline - Living Space|Zone Glazing Transmitted Solar,MF PT 2 Baseline - Living Space|Latent Gains/Losses,MF PT 2 Baseline - Domestic Water System|Hot Water Use Flow Rate,MF PT 2 Baseline - Domestic Water System|Cold Water Use Flow Rate,MF PT 2 Baseline - Domestic Water System|Water Heater Inlet Temperature,MF PT 2 Baseline - Domestic Water System|Delivered Hot Water Temperature,MF PT 2 Baseline - Delivered Energy|Heating Delivered (main),MF PT 2 Baseline - Delivered Energy|Cooling Delivered (sensible),MF PT 2 Baseline - Delivered Energy|Cooling Delivered (latent),MF PT 2 Baseline - Delivered Energy|DHW Delivered Energy,MF PT 2 Baseline - Delivered Energy|DHW Pipe Heat Losses - Unit,MF PT 2 Baseline - HVAC System|Total Supply Air Flow Rate,MF PT 2 Baseline - HVAC System|Supply Air Temperature,MF PT 2 Baseline - Weather|Outdoor Drybulb,MF PT 2 Baseline - Weather|Outdoor Wetbulb,MF PT 2 Baseline - Weather|Outdoor Dew Point,MF PT 2 Baseline - Weather|Ground Temperature,MF PT 2 Baseline - Weather|Outdoor Humidity Ratio,MF PT 2 Baseline - Weather|Direct Normal Solar,MF PT 2 Baseline - Weather|Total Horizontal Solar,MF PT 2 Baseline - Weather|Diffuse Horizontal Solar,MF PT 2 Baseline - Weather|Wind Speed (at Weather Station),MF PT 2 Baseline - Weather|Wind Direction,MF PT 2 Baseline - Weather|Atmospheric Pressure,MF PT 2 Baseline - Weather|Outdoor Air Density,MF PT 2 Baseline - Weather|Sky Temperature,MF PT 2 Baseline - Weather|Sky Radiation Losses,MF PT 2 Baseline - Weather|Total Vertical Solar,MF PT 2 Baseline - Weather|Mains Water Temperature
Btu,kWh,Btu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,F,F,F,lb/lb,%,m/s,cfm,cfm,cfm,cfm,cfm,Btu,Btu,gph,gph,F,F,Btu,Btu,Btu,Btu,Btu,cfm,F,F,F,F,F,lb/lb,Btu/sqft,Btu/sqft,Btu/sqft,m/s,Deg,Atm,lbm/cuft,F,Btu/sqft,Btu/sqft,F
2917.714052,0.265409,2852.559599,0,0,0,0.020502,0.045657,0,0.19925,59.774728,65.154453,0,59.774728,0,0,0,220.351421,490.711451,0,2141.496727,0,65.154453,66.277825,64,95,0.003445,24.730072,1.580852,42.807047,42.807047,0,0,0,0,-4.035657,0,0,64.696598,125.01206,0,0,0,0,21.935002,0,73.4,46.7,34.956269,14.03,61.095585,0.001742,0,0,0,3.008333,95,0.97508,0.076174,12.770881,85.295427,0,64.696598
3899.858768,0.244723,2630.230356,0,0,0,0.012301,0.044557,0,0.187864,1164.796708,1269.628412,1105.02198,59.774728,0,0,0,132.210853,478.894018,0,2019.125485,1204.473959,65.154453,65.229496,64,95,0.003425,25.464651,2.461049,56.164991,56.164991,0,0,0,0,-178.607877,0,0,64.696598,125.01206,0,0,0,0,10.985106,0,73.4,48.365,35.204005,11.105,61.095585,0.00147,0,0,0,4.683333,176.666667,0.97508,0.075957,13.54388,85.850151,0,64.696598
4326.989381,0.399129,4289.758265,0,0.150949,0.015068,0.008201,0.04274,0,0.182171,34.156987,37.231116,0,34.156987,0,1622.374916,161.946676,88.140568,459.35624,0,1957.939865,0,37.231116,64.213479,64,95,0.003403,26.215121,2.355951,53.82151,53.82151,0,0,11.049791,0,-136.732472,0,0,64.696598,125.01206,515.039656,0,0,0,2.746276,11.049791,134.117845,47.21,34.750583,12.11,61.095585,0.001547,0,0,0,4.483333,340,0.97508,0.07612,12.924283,85.401089,0,64.696598
5453.277979,0.391821,4211.215159,0,0.145464,0.020038,0.008201,0.04164,0,0.176478,1139.507175,1242.06282,1105.350187,34.156987,0,1563.420321,215.361219,88.140568,447.538807,0,1896.754244,1204.831704,37.231116,64.132906,64,95,0.003381,26.119069,2.281506,52.550175,52.550175,0,0,10.657259,0,-93.245716,0,0,64.696598,125.01206,496.323911,0,0,0,2.746276,10.657259,146.117627,46.025,34.346703,13.19,61.095585,0.001652,0,0,0,4.341667,340,0.97508,0.076286,12.22795,84.899195,0,64.696598
6391.748562,0.588641,6326.594108,0,0.318106,0.037987,0.009117,0.041259,0,0.182171,59.774728,65.154453,0,59.774728,0,3418.940747,408.279299,97.992477,443.44172,0,1957.939865,0,65.154453,64.284616,64,95,0.003368,25.881926,2.198304,51.384144,51.384144,0,0,23.310375,0,-54.879577,0,0,64.696598,125.01206,1085.378015,0,0,0,10.985106,23.310375,146.016172,44.765,33.826137,14.27,61.095585,0.001729,0,0,0,4.183333,340,0.97508,0.076467,11.344508,84.265225,0,64.696598
7989.926443,0.621776,6682.726689,0,0.324159,0.042519,0.025017,0.042217,0,0.187864,1199.26583,1307.199754,1105.334115,93.931715,0,3483.995143,456.990684,268.879862,453.735515,0,2019.125485,1204.814185,102.385569,64.285242,64,95,0.003362,25.838122,2.093205,50.220451,50.220451,0,0,23.752009,0,-5.270028,0,0,64.696598,125.01206,1106.030204,0,0,0,76.790113,23.752009,145.904729,42.77,33.006316,15.77,61.095585,0.001856,0,0,0,3.983333,340,0.97508,0.076755,9.671266,83.076531,0,64.696598
10902.07873,0.862783,9273.018744,0,0.472257,0.060889,0.058733,0.047768,0.0125,0.210635,1494.550447,1629.059987,1281.069276,213.48117,0,5075.725772,654.423151,631.255693,513.398661,134.3475,2263.867969,1396.365511,232.694476,64.408811,64,95,0.003355,25.672512,1.988107,69.791201,19.791202,50,0,34.59681,0,-66.039254,1.869146,0.617737,64.696598,124.976754,1611.341515,0,0,938.66297,263.255239,34.59681,145.781596,41.825,32.662414,16.73,61.095585,0.001934,0,0,0,3.783333,340,0.97508,0.07689,9.001989,82.601053,0,64.696598
9496.486661,0.735107,7900.781414,0,0.320247,0.044897,0.074326,0.054037,0.0025,0.2391,1463.949767,1595.705246,1105.301401,358.648366,0,3441.951802,482.54408,798.837806,580.782153,26.8695,2569.796072,1204.778527,390.926719,64.27944,64,95,0.003358,25.810524,1.63778,42.145159,42.145159,0,0,23.455743,163.475595,96.436859,0,0,64.696598,124.993068,1092.683112,0,0,0,279.697688,23.455743,145.656281,42.215,32.877447,16.775,61.095585,0.00193,164.594551,26.899158,8.532184,3.116667,340,0.97508,0.076831,9.450982,82.918038,59.745037,64.696598
6241.533218,0.54089,5813.375383,0,0.136887,0.024128,0.078987,0.056095,0,0.244793,392.805354,428.157836,0,392.805354,0,1471.235527,259.324556,848.940226,602.893381,0,2630.981693,0,428.157836,64.121237,64,95,0.003366,26.017937,0.713792,29.094073,29.094073,0,0,10.02483,535.781906,19.70301,0.044963,0.014888,64.696598,125.007048,467.058897,0,0,22.590303,268.712583,10.02483,133.451195,45.8,34.568272,14.81,61.095585,0.00179,250.576779,84.351012,15.426612,1.358333,252.5,0.97508,0.076304,12.213502,84.899195,100.58787,64.696598
10613.30541,0.38256,4111.673157,0,0,0,0.081193,0.056573,0,0.244793,5964.800231,6501.632252,5554.916384,409.883847,0,0,0,872.651186,608.040278,0,2630.981693,6054.858858,446.773394,65.660614,64,95,0.003375,24.736511,0.670001,23.765752,23.765752,0,0,0,1064.580326,85.416218,6.56989,2.175937,64.696598,124.947713,0,0,0,3301.073949,235.827683,0,72.814142,51.875,37.488035,12.725,61.095585,0.001614,295.984905,140.306364,18.649294,1.275,190,0.97508,0.075419,17.297521,88.623771,122.733383,64.696598
13734.56053,0.377816,4060.688248,0,0,0,0.078986,0.054037,0,0.244793,8875.112185,9673.872282,8516.463819,358.648366,0,0,0,848.924401,580.782153,0,2630.981693,9282.945562,390.926719,69.858055,64,95,0.003399,21.635324,1.121047,26.939399,26.939399,0,0,0,1602.198708,1588.10569,30.532681,2.346222,64.696598,122.677626,0,0,0,11876.31738,213.892681,0,72.814142,56.075,39.532815,11.675,61.095585,0.001533,318.279529,181.007128,19.917235,2.133333,184.166667,0.97508,0.074814,21.074861,91.450222,131.14486,64.696598
14350.9653,0.382366,4109.58864,0,0,0,0.075927,0.055953,0,0.250485,9395.758406,10241.37666,8968.796065,426.962341,0,0,0,816.051584,601.369743,0,2692.167314,9775.987711,465.388952,74.883989,64,95,0.003559,19.03382,0.503595,27.240785,27.240785,0,0,0,2018.800314,-64.296493,1.682679,0.372663,64.696598,119.76178,0,0,0,775.780106,170.022676,0,72.814142,57.515,39.998786,9.725,61.095585,0.001411,327.181529,201.198291,20.260636,0.958333,180,0.97508,0.07462,21.875969,92.057777,128.264727,64.696598
