MF PT 3 Baseline - Source Energy|Total (*),MF PT 3 Baseline - Site Energy|Total (E),MF PT 3 Baseline - Source Energy|Total (E),MF PT 3 Baseline - Site Energy|Cooling (E),MF PT 3 Baseline - Site Energy|Heating Fan/Pump (E),MF PT 3 Baseline - Site Energy|Lights (E),MF PT 3 Baseline - Site Energy|Lg. Appl. (E),MF PT 3 Baseline - Site Energy|Vent Fan (E),MF PT 3 Baseline - Site Energy|Misc. (E),MF PT 3 Baseline - Site Energy|Total (G),MF PT 3 Baseline - Source Energy|Total (G),MF PT 3 Baseline - Site Energy|Heating (G),MF PT 3 Baseline - Site Energy|Hot Water (G),MF PT 3 Baseline - Site Energy|Lg. Appl. (G),MF PT 3 Baseline - Source Energy|Cooling (E),MF PT 3 Baseline - Source Energy|Heating Fan/Pump (E),MF PT 3 Baseline - Source Energy|Lights (E),MF PT 3 Baseline - Source Energy|Lg. Appl. (E),MF PT 3 Baseline - Source Energy|Vent Fan (E),MF PT 3 Baseline - Source Energy|Misc. (E),MF PT 3 Baseline - Source Energy|Heating (G),MF PT 3 Baseline - Source Energy|Hot Water (G),MF PT 3 Baseline - Source Energy|Lg. Appl. (G),MF PT 3 Baseline - Living Space|Indoor Temperature,MF PT 3 Baseline - Living Space|Heating Setpoint,MF PT 3 Baseline - Living Space|Cooling Setpoint,MF PT 3 Baseline - Living Space|Indoor Humidity,MF PT 3 Baseline - Living Space|Indoor Relative Humidity,MF PT 3 Baseline - Living Space|Wind Speed (at Building),MF PT 3 Baseline - Living Space|Infiltration + Mech. Vent.,MF PT 3 Baseline - Living Space|Infiltration,MF PT 3 Baseline - Living Space|Mech. Vent. (rated),MF PT 3 Baseline - Living Space|Natural Ventilation,MF PT 3 Baseline - Living Space|System Flow Rate to Zone,MF PT 3 Baseline - Living Space|Zone Glazing Transmitted Solar,MF PT 3 Baseline - Living Space|Latent Gains/Losses,MF PT 3 Baseline - Domestic Water System|Hot Water Use Flow Rate,MF PT 3 Baseline - Domestic Water System|Cold Water Use Flow Rate,MF PT 3 Baseline - Domestic Water System|Water Heater Inlet Temperature,MF PT 3 Baseline - Domestic Water System|Delivered Hot Water Temperature,MF PT 3 Baseline - Delivered Energy|Heating Delivered (main),MF PT 3 Baseline - Delivered Energy|Cooling Delivered (sensible),MF PT 3 Baseline - Delivered Energy|Cooling Delivered (latent),MF PT 3 Baseline - Delivered Energy|DHW Delivered Energy,MF PT 3 Baseline - Delivered Energy|DHW Pipe Heat Losses - Unit,MF PT 3 Baseline - HVAC System|Total Supply Air Flow Rate,MF PT 3 Baseline - HVAC System|Supply Air Temperature,MF PT 3 Baseline - Weather|Outdoor Drybulb,MF PT 3 Baseline - Weather|Outdoor Wetbulb,MF PT 3 Baseline - Weather|Outdoor Dew Point,MF PT 3 Baseline - Weather|Ground Temperature,MF PT 3 Baseline - Weather|Outdoor Humidity Ratio,MF PT 3 Baseline - Weather|Direct Normal Solar,MF PT 3 Baseline - Weather|Total Horizontal Solar,MF PT 3 Baseline - Weather|Diffuse Horizontal Solar,MF PT 3 Baseline - Weather|Wind Speed (at Weather Station),MF PT 3 Baseline - Weather|Wind Direction,MF PT 3 Baseline - Weather|Atmospheric Pressure,MF PT 3 Baseline - Weather|Outdoor Air Density,MF PT 3 Baseline - Weather|Sky Temperature,MF PT 3 Baseline - Weather|Sky Radiation Losses,MF PT 3 Baseline - Weather|Total Vertical Solar,MF PT 3 Baseline - Weather|Mains Water Temperature
Btu,kWh,Btu,kWh,kWh,kWh,kWh,kWh,kWh,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,F,F,F,lb/lb,%,m/s,cfm,cfm,cfm,cfm,cfm,Btu,Btu,gph,gph,F,F,Btu,Btu,Btu,Btu,Btu,cfm,F,F,F,F,F,lb/lb,Btu/sqft,Btu/sqft,Btu/sqft,m/s,Deg,Atm,lbm/cuft,F,Btu/sqft,Btu/sqft,F
9597.992517,0.411351,4421.119708,0,0.088436,0.028196,0.045657,0,0.249062,4749.424595,5176.872809,4689.649868,0,59.774728,0,950.494447,303.042901,490.711451,0,2676.870909,5111.718356,0,65.154453,64.797513,64,95,0.003495,26.379067,1.580852,41.080049,41.080049,0,0,60.572178,0,2.774119,0,0,64.696598,124.892284,2682.569313,0,0,0,21.935002,60.572178,140.263577,46.7,34.956269,14.03,61.095585,0.001742,0,0,0,3.008333,95,0.97508,0.076174,12.770881,85.295427,0,64.696598
7891.780171,0.374221,4022.056268,0,0.077916,0.016917,0.044557,0,0.23483,3550.205416,3869.723903,2385.145537,1105.285151,59.774728,0,837.429652,181.825741,478.894018,0,2523.906857,2599.808635,1204.760815,65.154453,64.332952,64,95,0.003475,26.656402,2.461049,55.856271,55.856271,0,0,30.814487,0,-186.117157,0,0,64.696598,124.892284,1685.150057,0,0,0,10.985106,30.814487,147.387388,48.365,35.204005,11.105,61.095585,0.00147,0,0,0,4.683333,176.666667,0.97508,0.075957,13.54388,85.850151,0,64.696598
10227.58477,0.40085,4308.255684,0,0.119118,0.011278,0.04274,0,0.227714,5430.577146,5919.329089,5396.420159,0,34.156987,0,1280.257453,121.21716,459.35624,0,2447.424831,5882.097973,0,37.231116,64.835343,64,95,0.003451,26.008962,2.355951,54.003371,54.003371,0,0,69.693566,0,-147.829497,0,0,64.696598,124.892284,3237.852095,0,0,0,2.746276,69.693566,147.204232,47.21,34.750583,12.11,61.095585,0.001547,0,0,0,4.483333,340,0.97508,0.07612,12.924283,85.401089,0,64.696598
9005.586959,0.36892,3965.074707,0,0.095403,0.011278,0.04164,0,0.220598,4624.323168,5040.512253,3484.885051,1105.281129,34.156987,0,1025.375935,121.21716,447.538807,0,2370.942805,3798.524706,1204.756431,37.231116,64.525491,64,95,0.003432,26.147774,2.281506,52.770253,52.770253,0,0,44.988078,0,-105.238593,0,0,64.696598,124.892284,2090.931031,0,0,0,2.746276,44.988078,146.971734,46.025,34.346703,13.19,61.095585,0.001652,0,0,0,4.341667,340,0.97508,0.076286,12.22795,84.899195,0,64.696598
11028.62945,0.416936,4481.147297,0,0.135424,0.012539,0.041259,0,0.227714,6006.864362,6547.482155,5947.089635,0,59.774728,0,1455.514541,134.766204,443.44172,0,2447.424831,6482.327702,0,65.154453,64.899745,64,95,0.003419,25.712136,2.198304,51.682827,51.682827,0,0,76.744027,0,-67.069895,0,0,64.696598,124.892284,3568.253781,0,0,0,10.985106,76.744027,146.757638,44.765,33.826137,14.27,61.095585,0.001729,0,0,0,4.183333,340,0.97508,0.076467,11.344508,84.265225,0,64.696598
10812.49751,0.429727,4618.620378,0,0.118275,0.034405,0.042217,0,0.23483,5682.456086,6193.877133,4483.276662,1105.247709,93.931715,0,1271.195352,369.782655,453.735515,0,2523.906857,4886.771561,1204.720003,102.385569,64.651917,64,95,0.003412,25.883724,2.093205,50.448474,50.448474,0,0,57.829732,0,-16.078589,0,0,64.696598,124.892284,2689.965997,0,0,0,76.790113,57.829732,146.505476,42.77,33.006316,15.77,61.095585,0.001856,0,0,0,3.983333,340,0.97508,0.076755,9.671266,83.076531,0,64.696598
15434.16569,0.568945,6114.90696,0,0.164608,0.080774,0.047768,0.0125,0.263294,8549.778649,9319.258727,7027.136882,1309.160596,213.48117,0,1769.178242,868.147596,513.398661,134.3475,2829.834961,7659.579201,1426.98505,232.694476,65.011682,64,95,0.003403,25.495089,1.988107,70.017188,20.017189,50,0,90.604588,0,-76.852213,2.122826,0.695641,64.696598,124.856692,4216.282129,0,0,1063.818032,263.255239,90.604588,146.256454,41.825,32.662414,16.73,61.095585,0.001934,0,0,0,3.783333,340,0.97508,0.07689,9.001989,82.601053,0,64.696598
12691.2276,0.580974,6244.190086,0,0.123344,0.102218,0.054037,0.0025,0.298875,5914.713317,6447.037516,4450.886577,1105.178374,358.648366,0,1325.67494,1098.618402,580.782153,26.8695,3212.245091,4851.466369,1204.644428,390.926719,64.630995,64,95,0.003405,25.84867,1.63778,42.414045,42.414045,0,0,57.362838,324.629293,88.931094,0,0,64.696598,124.861022,2670.531946,0,0,0,279.697688,57.362838,145.994293,42.215,32.877447,16.775,61.095585,0.00193,164.594551,26.899158,8.532184,3.116667,340,0.97508,0.076831,9.450982,82.918038,59.745037,64.696598
10772.06305,0.55324,5946.108434,0,0.082525,0.108629,0.056095,0,0.305991,4427.481294,4825.954611,2929.40525,1105.27069,392.805354,0,886.965134,1167.522803,602.893381,0,3288.727116,3193.051723,1204.745053,428.157836,64.443105,64,95,0.003412,26.075171,0.713792,29.397764,29.397764,0,0,37.744191,1026.902279,15.134491,0.051085,0.016746,64.696598,124.84189,1757.64315,0,0,25.602344,268.712583,37.744191,145.820198,45.8,34.568272,14.81,61.095585,0.00179,250.576779,84.351012,15.426612,1.358333,252.5,0.97508,0.076304,12.213502,84.899195,100.58787,64.696598
