Time Step,Time Stamp,Electric Load (kW),Grid Serving Load (kW),PV Serving Load (kW),Wind Serving Load (kW),Battery Discharging (kW),PV Charging Battery (kW),Wind Charging Battery (kW),Grid Charging Battery (kW),PV Exporting to Grid (kW),Wind Exporting to Grid (kW),Battery to Grid (kW),Battery State of Charge (%),Diesel Generator Serving Load (kW)
1,2019-01-01 00:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.5,
2,2019-01-01 01:00:00,0.3,0.3,,,0.0,,,0.2,,,,0.6,
3,2019-01-01 02:00:00,0.3,0.3,,,0.0,,,0.2,,,,0.6,
4,2019-01-01 03:00:00,0.3,0.3,,,0.0,,,0.2,,,,0.6,
5,2019-01-01 04:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.7,
6,2019-01-01 05:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.7,
7,2019-01-01 06:00:00,0.6,0.6,,,0.0,,,0.0,,,,0.7,
8,2019-01-01 07:00:00,0.6,0.6,,,0.0,,,0.0,,,,0.7,
9,2019-01-01 08:00:00,0.6,0.6,,,0.0,,,0.0,,,,0.7,
10,2019-01-01 09:00:00,0.6,0.6,,,0.0,,,0.0,,,,0.7,
11,2019-01-01 10:00:00,0.6,0.6,,,0.0,,,0.0,,,,0.7,
12,2019-01-01 11:00:00,0.6,0.6,,,0.0,,,0.0,,,,0.7,
13,2019-01-01 12:00:00,0.6,0.6,,,0.0,,,0.0,,,,0.7,
14,2019-01-01 13:00:00,0.6,0.6,,,0.0,,,0.0,,,,0.7,
15,2019-01-01 14:00:00,0.6,0.6,,,0.0,,,0.0,,,,0.7,
16,2019-01-01 15:00:00,0.7,0.6,,,0.1,,,0.0,,,,0.7,
17,2019-01-01 16:00:00,0.7,0.6,,,0.1,,,0.0,,,,0.6,
18,2019-01-01 17:00:00,0.8,0.6,,,0.2,,,0.0,,,,0.6,
19,2019-01-01 18:00:00,0.8,0.6,,,0.3,,,0.0,,,,0.6,
20,2019-01-01 19:00:00,0.8,0.6,,,0.2,,,0.0,,,,0.5,
21,2019-01-01 20:00:00,0.7,0.6,,,0.1,,,0.0,,,,0.5,
22,2019-01-01 21:00:00,0.6,0.6,,,0.1,,,0.0,,,,0.5,
23,2019-01-01 22:00:00,0.6,0.6,,,0.0,,,0.0,,,,0.5,
24,2019-01-01 23:00:00,0.5,0.5,,,0.0,,,0.1,,,,0.5,
25,2019-01-02 00:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.5,
26,2019-01-02 01:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.6,
27,2019-01-02 02:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.6,
28,2019-01-02 03:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.6,
29,2019-01-02 04:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.6,
30,2019-01-02 05:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.7,
31,2019-01-02 06:00:00,0.6,0.6,,,0.0,,,0.0,,,,0.7,
32,2019-01-02 07:00:00,0.6,0.6,,,0.1,,,0.0,,,,0.7,
33,2019-01-02 08:00:00,0.6,0.6,,,0.0,,,0.0,,,,0.7,
34,2019-01-02 09:00:00,0.6,0.6,,,0.0,,,0.0,,,,0.7,
35,2019-01-02 10:00:00,0.6,0.6,,,0.0,,,0.0,,,,0.7,
36,2019-01-02 11:00:00,1.0,0.6,,,0.4,,,0.0,,,,0.6,
37,2019-01-02 12:00:00,0.6,0.6,,,0.0,,,0.0,,,,0.6,
38,2019-01-02 13:00:00,0.6,0.6,,,0.0,,,0.0,,,,0.6,
39,2019-01-02 14:00:00,0.6,0.6,,,0.0,,,0.0,,,,0.6,
40,2019-01-02 15:00:00,0.6,0.6,,,0.0,,,0.0,,,,0.6,
41,2019-01-02 16:00:00,0.7,0.6,,,0.1,,,0.0,,,,0.6,
42,2019-01-02 17:00:00,0.8,0.6,,,0.2,,,0.0,,,,0.6,
43,2019-01-02 18:00:00,0.8,0.6,,,0.3,,,0.0,,,,0.5,
44,2019-01-02 19:00:00,0.8,0.6,,,0.2,,,0.0,,,,0.5,
45,2019-01-02 20:00:00,0.7,0.6,,,0.1,,,0.0,,,,0.5,
46,2019-01-02 21:00:00,0.6,0.6,,,0.1,,,0.0,,,,0.5,
