SF PT 1 Elec All Elec + EE - Source Energy|Total (*),SF PT 1 Elec All Elec + EE - Site Energy|Total (E),SF PT 1 Elec All Elec + EE - Source Energy|Total (E),SF PT 1 Elec All Elec + EE - Site Energy|Cooling (E),SF PT 1 Elec All Elec + EE - Site Energy|Heating (E),SF PT 1 Elec All Elec + EE - Site Energy|Cooling Fan/Pump (E),SF PT 1 Elec All Elec + EE - Site Energy|Heating Fan/Pump (E),SF PT 1 Elec All Elec + EE - Site Energy|Hot Water (E),SF PT 1 Elec All Elec + EE - Site Energy|Hot Water - Suppl. (E),SF PT 1 Elec All Elec + EE - Site Energy|Lights (E),SF PT 1 Elec All Elec + EE - Site Energy|Lg. Appl. (E),SF PT 1 Elec All Elec + EE - Site Energy|Vent Fan (E),SF PT 1 Elec All Elec + EE - Site Energy|Misc. (E),SF PT 1 Elec All Elec + EE - Source Energy|Cooling (E),SF PT 1 Elec All Elec + EE - Source Energy|Heating (E),SF PT 1 Elec All Elec + EE - Source Energy|Cooling Fan/Pump (E),SF PT 1 Elec All Elec + EE - Source Energy|Heating Fan/Pump (E),SF PT 1 Elec All Elec + EE - Source Energy|Hot Water (E),SF PT 1 Elec All Elec + EE - Source Energy|Hot Water - Suppl. (E),SF PT 1 Elec All Elec + EE - Source Energy|Lights (E),SF PT 1 Elec All Elec + EE - Source Energy|Lg. Appl. (E),SF PT 1 Elec All Elec + EE - Source Energy|Vent Fan (E),SF PT 1 Elec All Elec + EE - Source Energy|Misc. (E),SF PT 1 Elec All Elec + EE - Living Space|Indoor Temperature,SF PT 1 Elec All Elec + EE - Living Space|Heating Setpoint,SF PT 1 Elec All Elec + EE - Living Space|Cooling Setpoint,SF PT 1 Elec All Elec + EE - Living Space|Indoor Humidity,SF PT 1 Elec All Elec + EE - Living Space|Indoor Relative Humidity,SF PT 1 Elec All Elec + EE - Living Space|Wind Speed (at Building),SF PT 1 Elec All Elec + EE - Living Space|Infiltration + Mech. Vent.,SF PT 1 Elec All Elec + EE - Living Space|Infiltration,SF PT 1 Elec All Elec + EE - Living Space|Mech. Vent. (rated),SF PT 1 Elec All Elec + EE - Living Space|Natural Ventilation,SF PT 1 Elec All Elec + EE - Living Space|System Flow Rate to Zone,SF PT 1 Elec All Elec + EE - Living Space|Zone Glazing Transmitted Solar,SF PT 1 Elec All Elec + EE - Living Space|Latent Gains/Losses,SF PT 1 Elec All Elec + EE - Unfinished Attic|Indoor Temperature,SF PT 1 Elec All Elec + EE - Unfinished Attic|Indoor Humidity,SF PT 1 Elec All Elec + EE - Unfinished Attic|Indoor Relative Humidity,SF PT 1 Elec All Elec + EE - Unfinished Attic|Infiltration,SF PT 1 Elec All Elec + EE - Domestic Water System|Hot Water Use Flow Rate,SF PT 1 Elec All Elec + EE - Domestic Water System|Cold Water Use Flow Rate,SF PT 1 Elec All Elec + EE - Domestic Water System|Water Heater Inlet Temperature,SF PT 1 Elec All Elec + EE - Domestic Water System|Delivered Hot Water Temperature,SF PT 1 Elec All Elec + EE - Domestic Water System|HPWH Sensible Heat Removed (inc. fan heat),SF PT 1 Elec All Elec + EE - Domestic Water System|HPWH Latent Heat Removed,SF PT 1 Elec All Elec + EE - Delivered Energy|Heating Delivered (main),SF PT 1 Elec All Elec + EE - Delivered Energy|Cooling Delivered (sensible),SF PT 1 Elec All Elec + EE - Delivered Energy|Cooling Delivered (latent),SF PT 1 Elec All Elec + EE - Delivered Energy|DHW Delivered Energy,SF PT 1 Elec All Elec + EE - Delivered Energy|DHW Pipe Heat Losses - Unit,SF PT 1 Elec All Elec + EE - Weather|Outdoor Drybulb,SF PT 1 Elec All Elec + EE - Weather|Outdoor Wetbulb,SF PT 1 Elec All Elec + EE - Weather|Outdoor Dew Point,SF PT 1 Elec All Elec + EE - Weather|Ground Temperature,SF PT 1 Elec All Elec + EE - Weather|Outdoor Humidity Ratio,SF PT 1 Elec All Elec + EE - Weather|Direct Normal Solar,SF PT 1 Elec All Elec + EE - Weather|Total Horizontal Solar,SF PT 1 Elec All Elec + EE - Weather|Diffuse Horizontal Solar,SF PT 1 Elec All Elec + EE - Weather|Wind Speed (at Weather Station),SF PT 1 Elec All Elec + EE - Weather|Wind Direction,SF PT 1 Elec All Elec + EE - Weather|Atmospheric Pressure,SF PT 1 Elec All Elec + EE - Weather|Outdoor Air Density,SF PT 1 Elec All Elec + EE - Weather|Sky Temperature,SF PT 1 Elec All Elec + EE - Weather|Sky Radiation Losses,SF PT 1 Elec All Elec + EE - Weather|Total Vertical Solar,SF PT 1 Elec All Elec + EE - Weather|Mains Water Temperature
Btu,kWh,Btu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,F,F,F,lb/lb,%,m/s,cfm,cfm,cfm,cfm,cfm,Btu,Btu,F,lb/lb,%,cfm,gph,gph,F,F,Btu,Btu,Btu,Btu,Btu,Btu,Btu,F,F,F,F,lb/lb,Btu/sqft,Btu/sqft,Btu/sqft,m/s,Deg,Atm,lbm/cuft,F,Btu/sqft,Btu/sqft,F
5276.163833,0.490906,5276.163833,0,0,0,0,0.003,0,0.030077,0.075888,0,0.381941,0,0,0,0,32.2434,0,323.26627,815.624887,0,4105.029276,70.095645,65,95,0.003631,22.843108,1.580852,75.838451,75.838451,0,0,0,0,-239.450545,38.599243,0.001766,35.262964,365.678744,0.296343,0.101731,64.696598,125.634335,0,0,0,0,0,150.251474,20.606794,46.7,34.956269,14.03,61.095585,0.001742,0,0,0,3.008333,95,0.97508,0.076174,12.770881,85.295427,0,64.696598
5295.085145,0.492667,5295.085145,0,0,0,0,0.047722,0,0.018046,0.066782,0,0.360116,0,0,0,0,512.90572,0,193.959762,717.763488,0,3870.456175,69.249814,65,95,0.003593,23.242882,2.461049,96.779202,96.779202,0,0,0,0,-540.814639,42.444317,0.001692,29.068727,461.303708,0,0,64.696598,125.269927,212.393824,0,0,0,0,0,10.319935,48.365,35.204005,11.105,61.095585,0.00147,0,0,0,4.683333,176.666667,0.97508,0.075957,13.54388,85.850151,0,64.696598
4522.864606,0.420818,4522.864606,0,0,0,0,0.003,0,0.012031,0.056583,0,0.349204,0,0,0,0,32.2434,0,129.306508,608.145074,0,3753.169624,67.622224,65,95,0.003559,24.353317,2.355951,92.651211,92.651211,0,0,0,0,-455.231362,43.520558,0.001649,27.170595,427.315089,0,0,64.696598,125.269927,0,0,0,0,0,0,2.579984,47.21,34.750583,12.11,61.095585,0.001547,0,0,0,4.483333,340,0.97508,0.07612,12.924283,85.401089,0,64.696598
4843.887346,0.450686,4843.887346,0,0,0,0,0.048884,0,0.012031,0.051481,0,0.338291,0,0,0,0,525.392106,0,129.306508,553.305658,0,3635.883073,66.995499,65,95,0.003525,24.646305,2.281506,90.16355,90.16355,0,0,0,0,-371.362403,43.382323,0.001636,27.095012,406.263571,0,0,64.696598,125.269927,211.036078,0,0,0,0,0,2.579984,46.025,34.346703,13.19,61.095585,0.001652,0,0,0,4.341667,340,0.97508,0.076286,12.22795,84.899195,0,64.696598
4568.461968,0.42506,4568.461968,0,0,0,0,0.003,0,0.013376,0.059481,0,0.349204,0,0,0,0,32.2434,0,143.759738,639.289206,0,3753.169624,66.200774,65,95,0.003497,25.131398,2.198304,87.604577,87.604577,0,0,0,0,-296.705984,42.620617,0.001652,28.183235,388.209097,0,0,64.696598,125.269927,0,0,0,0,0,0,10.319935,44.765,33.826137,14.27,61.095585,0.001729,0,0,0,4.183333,340,0.97508,0.076467,11.344508,84.265225,0,64.696598
5569.567686,0.518205,5569.567686,0,0,0,0,0.051108,0,0.036701,0.070279,0,0.360116,0,0,0,0,549.301802,0,394.459857,755.349852,0,3870.456175,65.543345,65,95,0.003475,25.553374,2.093205,85.200983,85.200983,0,0,0,0,-206.404152,41.278766,0.001685,30.283302,364.140081,0,0,64.696598,125.269927,216.708646,0,0,0,0,0,72.140316,42.77,33.006316,15.77,61.095585,0.001856,0,0,0,3.983333,340,0.97508,0.076755,9.671266,83.076531,0,64.696598
16336.75753,1.520009,16336.75753,0,0.866699,0,0.019101,0.003,0,0.086165,0.116278,0.025,0.403767,0,9315.111538,0,205.292408,32.2434,0,926.082854,1249.729954,268.695,4339.602378,70.817026,71,95,0.003452,21.18389,1.988107,132.502449,32.50245,99.999999,0,348.214404,0,-491.184543,39.975432,0.001727,32.630776,352.467515,0,0,64.696598,125.269927,0,0,9787.252377,0,0,0,247.314602,41.825,32.662414,16.73,61.095585,0.001934,0,0,0,3.783333,340,0.97508,0.07689,9.001989,82.601053,0,64.696598
12514.74839,1.164401,12514.74839,0,0.351648,0,0.013225,0.047777,0,0.109039,0.179381,0.005,0.45833,0,3779.441583,0,142.142978,513.500711,0,1171.933979,1927.955003,53.739,4926.035132,71,71,95,0.003429,20.904641,1.63778,78.280725,78.280725,0,0,165.439038,2055.817482,-70.734241,40.041318,0.001772,33.393693,304.608519,0.916684,0.305165,64.696598,125.106,214.977136,0,5459.096128,0,0,461.181583,262.761428,42.215,32.877447,16.775,61.095585,0.00193,164.594551,26.862878,8.532184,3.116667,340,0.97508,0.076831,9.450982,82.918038,59.733928,64.696598
11140.58044,1.036545,11140.58044,0,0.18662,0,0.005361,0.040144,0,0.115878,0.219299,0,0.469242,0,2005.759655,0,57.615131,431.460334,0,1245.436669,2356.986964,0,5043.321682,71,71,95,0.003428,20.89993,0.713792,59.29684,59.29684,0,0,75.193669,3294.427034,-34.424425,45.295695,0.001788,27.66901,149.994901,8.816042,2.823992,64.696598,124.544802,123.209848,0,2481.226235,0,0,4393.479806,252.441493,45.8,34.568272,14.81,61.095585,0.00179,250.576779,84.296298,15.426612,1.358333,252.5,0.97508,0.076304,12.213502,84.899195,100.566667,64.696598
