SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Source Energy|Total (*),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Site Energy|Total (E),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Source Energy|Total (E),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Site Energy|Cooling (E),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Site Energy|Heating (E),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Site Energy|Cooling Fan/Pump (E),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Site Energy|Heating Fan/Pump (E),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Site Energy|Hot Water (E),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Site Energy|Hot Water - Suppl. (E),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Site Energy|Lights (E),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Site Energy|Lg. Appl. (E),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Site Energy|Vent Fan (E),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Site Energy|Misc. (E),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Source Energy|Cooling (E),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Source Energy|Heating (E),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Source Energy|Cooling Fan/Pump (E),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Source Energy|Heating Fan/Pump (E),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Source Energy|Hot Water (E),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Source Energy|Hot Water - Suppl. (E),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Source Energy|Lights (E),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Source Energy|Lg. Appl. (E),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Source Energy|Vent Fan (E),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Source Energy|Misc. (E),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Living Space|Indoor Temperature,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Living Space|Heating Setpoint,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Living Space|Cooling Setpoint,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Living Space|Indoor Humidity,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Living Space|Indoor Relative Humidity,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Living Space|Wind Speed (at Building),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Living Space|Infiltration + Mech. Vent.,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Living Space|Infiltration,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Living Space|Mech. Vent. (rated),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Living Space|Natural Ventilation,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Living Space|System Flow Rate to Zone,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Living Space|Zone Glazing Transmitted Solar,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Living Space|Latent Gains/Losses,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Unfinished Attic|Indoor Temperature,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Unfinished Attic|Indoor Humidity,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Unfinished Attic|Indoor Relative Humidity,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Unfinished Attic|Infiltration,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Domestic Water System|Hot Water Use Flow Rate,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Domestic Water System|Cold Water Use Flow Rate,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Domestic Water System|Water Heater Inlet Temperature,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Domestic Water System|Delivered Hot Water Temperature,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Domestic Water System|HPWH Sensible Heat Removed (inc. fan heat),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Domestic Water System|HPWH Latent Heat Removed,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Delivered Energy|Heating Delivered (main),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Delivered Energy|Cooling Delivered (sensible),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Delivered Energy|Cooling Delivered (latent),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Delivered Energy|DHW Delivered Energy,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Delivered Energy|DHW Pipe Heat Losses - Unit,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Weather|Outdoor Drybulb,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Weather|Outdoor Wetbulb,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Weather|Outdoor Dew Point,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Weather|Ground Temperature,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Weather|Outdoor Humidity Ratio,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Weather|Direct Normal Solar,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Weather|Total Horizontal Solar,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Weather|Diffuse Horizontal Solar,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Weather|Wind Speed (at Weather Station),SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Weather|Wind Direction,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Weather|Atmospheric Pressure,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Weather|Outdoor Air Density,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Weather|Sky Temperature,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Weather|Sky Radiation Losses,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Weather|Total Vertical Solar,SF PT4 Elec All Elec + EE (Analysis Years 1 - 1) - Weather|Mains Water Temperature
Btu,kWh,Btu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,F,F,F,lb/lb,%,m/s,cfm,cfm,cfm,cfm,cfm,Btu,Btu,F,lb/lb,%,cfm,gph,gph,F,F,Btu,Btu,Btu,Btu,Btu,Btu,Btu,F,F,F,F,lb/lb,Btu/sqft,Btu/sqft,Btu/sqft,m/s,Deg,Atm,lbm/cuft,F,Btu/sqft,Btu/sqft,F
4000.39063,0.372206,4000.39063,0,0,0,0,0.003,0,0.030077,0.084501,0,0.254628,0,0,0,0,32.2434,0,323.26627,908.194777,0,2736.686184,68.621223,64,95,0.003308,21.901905,1.580852,74.293093,74.293093,0,0,0,0,-117.110993,38.588692,0.001768,35.325601,365.647611,0.203633,0.071327,64.696598,125.937724,0,0,0,0,0,103.7825,20.606794,46.7,34.956269,14.03,61.095585,0.001742,0,0,0,3.008333,95,0.97508,0.076174,12.770881,85.295427,0,64.696598
4108.35326,0.382251,4108.35326,0,0,0,0,0.048947,0,0.018046,0.07518,0,0.240077,0,0,0,0,526.070251,0,193.959762,808.01913,0,2580.304117,67.831887,64,95,0.003281,22.298366,2.461049,95.613656,95.613656,0,0,0,0,-390.288358,42.434638,0.001694,29.10863,461.369096,0,0,64.696598,125.590085,210.52284,0,0,0,0,0,10.319935,48.365,35.204005,11.105,61.095585,0.00147,0,0,0,4.683333,176.666667,0.97508,0.075957,13.54388,85.850151,0,64.696598
3359.74946,0.312599,3359.74946,0,0,0,0,0.003,0,0.012031,0.064765,0,0.232802,0,0,0,0,32.2434,0,129.306508,696.08647,0,2502.113083,66.124681,64,95,0.003258,23.485763,2.355951,91.39865,91.39865,0,0,0,0,-314.855578,43.509591,0.00165,27.203169,427.396647,0,0,64.696598,125.590085,0,0,0,0,0,0,2.579984,47.21,34.750583,12.11,61.095585,0.001547,0,0,0,4.483333,340,0.97508,0.07612,12.924283,85.401089,0,64.696598
3735.544288,0.347564,3735.544288,0,0,0,0,0.050558,0,0.012031,0.059448,0,0.225527,0,0,0,0,543.382925,0,129.306508,638.932807,0,2423.922049,65.435064,64,95,0.003235,23.885156,2.281506,88.814545,88.814545,0,0,0,0,-239.285584,43.369519,0.001637,27.123807,406.365134,0,0,64.696598,125.590085,210.388046,0,0,0,0,0,2.579984,46.025,34.346703,13.19,61.095585,0.001652,0,0,0,4.341667,340,0.97508,0.076286,12.22795,84.899195,0,64.696598
3400.718328,0.316411,3400.718328,0,0,0,0,0.003,0,0.013376,0.067233,0,0.232802,0,0,0,0,32.2434,0,143.759738,722.602107,0,2502.113083,64.607882,64,95,0.003217,24.451745,2.198304,86.164912,86.164912,0,0,0,0,-172.983522,42.605938,0.001653,28.210955,388.33272,0,0,64.696598,125.590085,0,0,0,0,0,0,10.319935,44.765,33.826137,14.27,61.095585,0.001729,0,0,0,4.183333,340,0.97508,0.076467,11.344508,84.265225,0,64.696598
4600.863658,0.428075,4600.863658,0,0.024487,0,0.000455,0.048323,0,0.036701,0.078031,0,0.240077,0,263.184858,0,4.886958,519.365115,0,394.459857,838.662753,0,2580.304117,64.074147,64,95,0.003206,24.822244,2.093205,83.761515,83.761515,0,0,9.182378,0,-91.156695,41.262599,0.001686,30.311736,364.288927,0,0,64.696598,125.590085,196.125238,0,306.857683,0,0,0,72.140316,42.77,33.006316,15.77,61.095585,0.001856,0,0,0,3.983333,340,0.97508,0.076755,9.671266,83.076531,0,64.696598
7605.350161,0.707619,7605.350161,0,0.15012,0,0.003114,0.049583,0,0.086165,0.12446,0.025,0.269178,0,1613.45565,0,33.464201,532.912854,0,926.082854,1337.67135,268.695,2893.068252,64,64,95,0.003189,24.759284,1.988107,128.716761,28.716762,99.999999,0,55.850982,0,-303.566617,39.910459,0.00174,32.95633,352.648717,0,0,64.696598,125.590085,200.532967,0,1866.761294,0,0,0,247.314602,41.825,32.662414,16.73,61.095585,0.001934,0,0,0,3.783333,340,0.97508,0.07689,9.001989,82.601053,0,64.696598
6702.217634,0.62359,6702.217634,0,0.012053,0,0.00095,0.003,0,0.109039,0.187994,0.005,0.305553,0,129.543131,0,10.20981,32.2434,0,1171.933979,2020.524893,53.739,3284.023421,64.611063,64,95,0.003178,24.154797,1.63778,70.841511,70.841511,0,0,4.492857,3593.950365,58.221533,40.017853,0.001784,33.646602,304.863577,0.632195,0.211767,64.696598,125.227077,0,0,150.172253,0,0,318.549804,262.761428,42.215,32.877447,16.775,61.095585,0.00193,164.594551,26.862878,8.532184,3.116667,340,0.97508,0.076831,9.450982,82.918038,59.733928,64.696598
8107.503595,0.754341,8107.503595,0,0,0,0,0.097507,0,0.115878,0.228128,0,0.312828,0,0,0,0,1047.981369,0,1245.436669,2451.871101,0,3362.214455,67.181659,64,95,0.003183,22.132759,0.713792,53.108181,53.108181,0,0,0,5870.083149,28.360755,45.259669,0.001798,27.865146,150.614799,6.11226,1.927807,64.696598,124.341121,140.502003,0,0,0,0,3034.687816,252.441493,45.8,34.568272,14.81,61.095585,0.00179,250.576779,84.296298,15.426612,1.358333,252.5,0.97508,0.076304,12.213502,84.899195,100.566667,64.696598
9530.988538,0.886785,9530.988538,0,0,0,0,0.183288,0,0.119115,0.271554,0,0.312828,0,0,0,0,1969.942015,0,1280.221803,2918.610265,0,3362.214455,71.32044,64,95,0.003229,19.492815,0.670001,48.992239,48.992239,0,0,0,6981.950267,1673.426225,55.751328,0.001787,18.809446,193.347848,29.781825,7.837188,64.696598,123.289846,449.830709,0,0,0,0,14199.13112,221.54784,51.875,37.488035,12.725,61.095585,0.001614,295.984905,140.239004,18.649294,1.275,190,0.97508,0.075419,17.297521,88.623771,122.706852,64.696598
48625.88932,4.524264,48625.88932,0,0,0,0,0.003,3.8125,0.115876,0.28006,0,0.312828,0,0,0,0,32.2434,40975.9875,1245.413454,3010.030506,0,3362.214455,73.723454,64,95,0.003353,18.649463,1.121047,112.870309,12.87031,99.999999,0,0,6890.799773,-34.47379,65.960221,0.001749,12.778413,330.278173,20.025726,0,64.696598,89.668044,0,0,0,0,0,5558.277157,200.941047,56.075,39.532815,11.675,61.095585,0.001533,318.279529,180.938545,19.917235,2.133333,184.166667,0.97508,0.074814,21.074861,91.450222,131.117287,64.696598
